country_id,country_iso3_code,group_id,group_type,group_name,group_parent_id
28,ATG,930,continent,North America,
44,BHS,930,continent,North America,
52,BRB,930,continent,North America,
60,BMU,930,continent,North America,
84,BLZ,930,continent,North America,
92,VGB,930,continent,North America,
124,CAN,930,continent,North America,
136,CYM,930,continent,North America,
188,CRI,930,continent,North America,
192,CUB,930,continent,North America,
212,DMA,930,continent,North America,
214,DOM,930,continent,North America,
222,SLV,930,continent,North America,
238,FLK,930,continent,North America,
304,GRL,930,continent,North America,
308,GRD,930,continent,North America,
312,GLP,930,continent,North America,
320,GTM,930,continent,North America,
332,HTI,930,continent,North America,
340,HND,930,continent,North America,
388,JAM,930,continent,North America,
474,MTQ,930,continent,North America,
484,MEX,930,continent,North America,
500,MSR,930,continent,North America,
530,ANT,930,continent,North America,
531,CUW,930,continent,North America,
533,ABW,930,continent,North America,
534,SXM,930,continent,North America,
558,NIC,930,continent,North America,
591,PAN,930,continent,North America,
592,PCZ,930,continent,North America,
652,BLM,930,continent,North America,
659,KNA,930,continent,North America,
660,AIA,930,continent,North America,
662,LCA,930,continent,North America,
666,SPM,930,continent,North America,
670,VCT,930,continent,North America,
780,TTO,930,continent,North America,
796,TCA,930,continent,North America,
840,USA,930,continent,North America,
850,VIR,930,continent,North America,
4,AFG,931,continent,Asia,
31,AZE,931,continent,Asia,
48,BHR,931,continent,Asia,
50,BGD,931,continent,Asia,
51,ARM,931,continent,Asia,
64,BTN,931,continent,Asia,
96,BRN,931,continent,Asia,
104,MMR,931,continent,Asia,
116,KHM,931,continent,Asia,
144,LKA,931,continent,Asia,
156,CHN,931,continent,Asia,
158,TWN,931,continent,Asia,
196,CYP,931,continent,Asia,
268,GEO,931,continent,Asia,
275,PSE,931,continent,Asia,
344,HKG,931,continent,Asia,
356,IND,931,continent,Asia,
360,IDN,931,continent,Asia,
364,IRN,931,continent,Asia,
368,IRQ,931,continent,Asia,
376,ISR,931,continent,Asia,
392,JPN,931,continent,Asia,
398,KAZ,931,continent,Asia,
400,JOR,931,continent,Asia,
408,PRK,931,continent,Asia,
410,KOR,931,continent,Asia,
414,KWT,931,continent,Asia,
417,KGZ,931,continent,Asia,
418,LAO,931,continent,Asia,
422,LBN,931,continent,Asia,
446,MAC,931,continent,Asia,
458,MYS,931,continent,Asia,
462,MDV,931,continent,Asia,
496,MNG,931,continent,Asia,
512,OMN,931,continent,Asia,
524,NPL,931,continent,Asia,
586,PAK,931,continent,Asia,
608,PHL,931,continent,Asia,
626,TLS,931,continent,Asia,
634,QAT,931,continent,Asia,
682,SAU,931,continent,Asia,
702,SGP,931,continent,Asia,
704,VNM,931,continent,Asia,
720,YMD,931,continent,Asia,
760,SYR,931,continent,Asia,
762,TJK,931,continent,Asia,
764,THA,931,continent,Asia,
784,ARE,931,continent,Asia,
792,TUR,931,continent,Asia,
795,TKM,931,continent,Asia,
860,UZB,931,continent,Asia,
868,VDR,931,continent,Asia,
887,YEM,931,continent,Asia,
12,DZA,932,continent,Africa,
24,AGO,932,continent,Africa,
72,BWA,932,continent,Africa,
108,BDI,932,continent,Africa,
120,CMR,932,continent,Africa,
132,CPV,932,continent,Africa,
140,CAF,932,continent,Africa,
148,TCD,932,continent,Africa,
174,COM,932,continent,Africa,
175,MYT,932,continent,Africa,
178,COG,932,continent,Africa,
180,COD,932,continent,Africa,
204,BEN,932,continent,Africa,
226,GNQ,932,continent,Africa,
231,ETH,932,continent,Africa,
232,ERI,932,continent,Africa,
262,DJI,932,continent,Africa,
266,GAB,932,continent,Africa,
270,GMB,932,continent,Africa,
288,GHA,932,continent,Africa,
324,GIN,932,continent,Africa,
384,CIV,932,continent,Africa,
404,KEN,932,continent,Africa,
426,LSO,932,continent,Africa,
430,LBR,932,continent,Africa,
434,LBY,932,continent,Africa,
450,MDG,932,continent,Africa,
454,MWI,932,continent,Africa,
466,MLI,932,continent,Africa,
478,MRT,932,continent,Africa,
480,MUS,932,continent,Africa,
504,MAR,932,continent,Africa,
508,MOZ,932,continent,Africa,
516,NAM,932,continent,Africa,
562,NER,932,continent,Africa,
566,NGA,932,continent,Africa,
624,GNB,932,continent,Africa,
638,REU,932,continent,Africa,
646,RWA,932,continent,Africa,
654,SHN,932,continent,Africa,
678,STP,932,continent,Africa,
686,SEN,932,continent,Africa,
690,SYC,932,continent,Africa,
694,SLE,932,continent,Africa,
706,SOM,932,continent,Africa,
710,ZAF,932,continent,Africa,
716,ZWE,932,continent,Africa,
728,SSD,932,continent,Africa,
729,SDN,932,continent,Africa,
732,ESH,932,continent,Africa,
748,SWZ,932,continent,Africa,
