country_id,country_iso3_code,year,export_value,import_value,eci,coi,diversity,growth_proj
4,AFG,1988,135954828,440037414,,,,
4,AFG,1989,106740446,369970272,,,,
4,AFG,1990,116912193,421280992,,,,
4,AFG,1991,101806512,391673008,,,,
4,AFG,1992,72259969,372805560,,,,
4,AFG,1995,95540648,321516025,-0.601,-0.524,97,
4,AFG,1996,111002158,465359933,-0.59,-0.579,87,
4,AFG,1997,137468524,409748287,-0.255,-0.377,101,
4,AFG,1998,145232833,357870341,-0.725,-0.535,89,
4,AFG,1999,121436765,407105905,-0.527,-0.43,99,
4,AFG,2000,135788876,592652411,-0.453,-0.379,102,
4,AFG,2001,87941798,511575345,-0.119,-0.374,107,
4,AFG,2002,89315377,986897712,-0.301,-0.089,129,
4,AFG,2003,161280871,1591023532,-0.199,-0.588,84,
4,AFG,2004,178102180,1952841904,-0.322,-0.67,79,
4,AFG,2005,241847957,3573653310,0.02,-0.55,89,
4,AFG,2006,220940691,3489252037,-0.657,-0.652,85,
4,AFG,2007,333726277,3746080636,-0.738,-0.744,96,
4,AFG,2008,495919580,6236312783,-0.092,-0.485,98,
4,AFG,2009,1128209183,7415360009,0.373,0.364,160,
4,AFG,2010,551780545,10099611857,-0.162,-0.073,123,
4,AFG,2011,491229665,13243942429,-0.918,-0.772,76,
4,AFG,2012,632264972,11411240736,-0.771,-0.862,75,
4,AFG,2013,722269552,11335384924,-0.795,-0.713,78,
4,AFG,2014,822337652,9807990061,-1.027,-0.89,72,
4,AFG,2015,822844281,10221523599,-1.377,-0.949,66,
4,AFG,2016,922938647,9525221374,-1.526,-1.032,71,
4,AFG,2017,952924745,11046881501,-1.418,-0.898,81,
4,AFG,2018,1102570176,11033901765,-1.325,-0.771,84,
4,AFG,2019,1826067894,9416764503,-1.225,-0.8,88,
4,AFG,2020,1576918452,8712236479,-1.154,-0.85,79,
4,AFG,2021,1730384636,7376480719,-1.327,-0.837,77,4.828
4,AFG,2022,1525006108,7488357006,-1.364,-0.8,80,4.252
4,AFG,2023,1494908412,6923025943,-1.277,-0.84,82,4.016
4,AFG,2024,1461895665,5727948710,-0.818,-0.904,72,
8,ALB,1988,195573698,189030930,,,,
8,ALB,1989,222884211,238764388,,,,
8,ALB,1990,188402984,275184345,,,,
8,ALB,1991,144447598,343516848,,,,
8,ALB,1992,102829782,502073353,,,,
8,ALB,1995,215899893,854132076,-0.456,-0.298,128,
8,ALB,1996,281487697,1174862520,-0.226,0.341,178,
8,ALB,1997,230328940,733137208,-0.351,0.126,166,
8,ALB,1998,247688976,785974109,-0.355,0.002,157,
8,ALB,1999,266484197,983128263,-0.3,-0.065,154,
8,ALB,2000,284781568,981137681,-0.262,0.158,173,
8,ALB,2001,317748745,1264626892,-0.295,0.153,168,
8,ALB,2002,323770500,1373323901,-0.194,0.027,154,
8,ALB,2003,468627569,1684366296,-0.101,0.244,174,
8,ALB,2004,565664127,2082046489,-0.122,0.185,169,2.92
8,ALB,2005,648022220,2342084034,-0.134,0.251,173,2.53
8,ALB,2006,753766332,2659476660,-0.279,0.22,169,2.25
8,ALB,2007,1066623096,3551503846,-0.296,0.127,168,2.53
8,ALB,2008,1955655458,4670975371,0.351,0.81,211,3.75
8,ALB,2009,1869854379,4360176682,0.357,0.816,237,3.95
8,ALB,2010,1606704156,4038599078,-0.374,0.104,161,2.02
8,ALB,2011,1959246761,4656718598,-0.465,0.165,164,2.08
8,ALB,2012,1980770305,4501811718,-0.3,0.192,165,2.25
8,ALB,2013,2548655285,4510141085,-0.264,0.207,162,2.21
8,ALB,2014,2531810643,4768278359,-0.402,-0.119,139,1.83
8,ALB,2015,2006063202,4169465123,-0.505,0.065,159,2.67
8,ALB,2016,2058914430,4445385394,-0.428,0.219,175,3.73
8,ALB,2017,2342075366,4942764049,-0.331,0.08,162,3.31
8,ALB,2018,2742419025,5651089681,-0.257,0.157,161,3.38
8,ALB,2019,2706060761,5486908242,-0.292,0.233,162,3.32
8,ALB,2020,2402351159,5319442132,-0.24,0.238,179,3.22
8,ALB,2021,3330965100,7051540743,-0.22,0.167,176,3.22
8,ALB,2022,4485874922,7652893307,-0.279,0.297,177,1.558
8,ALB,2023,3988212196,9259451981,-0.156,0.419,194,1.807
8,ALB,2024,3691428703,9053601037,0.032,0.592,197,1.939
10,ATA,2000,2794159,4719449,1.302,-0.598,24,
10,ATA,2001,741727,7869349,1.041,-0.462,28,
10,ATA,2002,263002,7923122,0.722,-0.544,15,
10,ATA,2003,1267294,8200070,1.517,-0.51,17,
10,ATA,2004,1471549,10913281,1.675,-0.514,16,
10,ATA,2005,1481325,22357421,1.472,-0.44,15,
10,ATA,2006,1618931,13994390,1.538,-0.308,34,
10,ATA,2007,1148737,15832933,1.594,-0.558,22,
10,ATA,2008,2617457,1495604443,0.617,-0.623,38,
10,ATA,2009,3177430,119078855,1.364,-0.69,40,
10,ATA,2010,51182595,227840203,1.079,0.125,79,
10,ATA,2011,10265088,55056024,1.314,-0.416,28,
10,ATA,2012,9145039,31340589,1.705,-0.407,42,
10,ATA,2013,24892670,29302757,0.181,-0.586,15,
10,ATA,2014,12760030,26375168,1.006,-0.08,48,
10,ATA,2015,10142591,28211617,1.0,-0.288,45,
10,ATA,2016,8488130,39826256,0.978,-0.471,31,
10,ATA,2017,4481698,33240055,1.528,-0.296,34,
10,ATA,2018,14952899,16949616,1.231,-0.518,32,
10,ATA,2019,7219289,38607288,1.269,-0.453,49,
10,ATA,2020,8099551,29677212,1.031,-0.652,35,
10,ATA,2021,6597929,49364605,1.082,-0.559,33,
10,ATA,2022,11558584,33210571,0.707,-0.471,49,
10,ATA,2023,7903066,49057334,1.397,-0.246,46,
10,ATA,2024,2704821,41546614,1.027,-0.658,25,
12,DZA,1988,7882927629,6965039907,,,,
12,DZA,1989,8787584774,8007932385,,,,
12,DZA,1990,11866988851,9215692013,,,,
12,DZA,1991,11933574769,7976254952,,,,
12,DZA,1992,11109000921,7353314802,,,,
12,DZA,1995,10615314899,9216932946,-0.102,-1.319,30,
12,DZA,1996,12512782323,7644984048,-0.244,-1.414,29,
12,DZA,1997,13865904605,7660638184,-0.327,-1.493,21,
