GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1281305183,20251229,202512,2025,2025.9836,CHN,BEIJING,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,057, Sign formal agreement,057,05,1,8.0,1,1,1,-3.31618067467124,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229000000,https://www.bostonglobe.com/2025/12/28/world/china-expands-nuclear-warhead-manufacturing-capacity-research-finds/
1281305184,20251229,202512,2025,2025.9836,CHN,BEIJING,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,057, Sign formal agreement,057,05,1,8.0,1,1,1,-3.31618067467124,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229000000,https://www.bostonglobe.com/2025/12/28/world/china-expands-nuclear-warhead-manufacturing-capacity-research-finds/
1281305670,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,BEIJING,CHN,,,,,,,,0,057, Sign formal agreement,057,05,1,8.0,1,1,1,-3.31618067467124,1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229000000,https://www.bostonglobe.com/2025/12/28/world/china-expands-nuclear-warhead-manufacturing-capacity-research-finds/
1281305671,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,BEIJING,CHN,,,,,,,,0,057, Sign formal agreement,057,05,1,8.0,1,1,1,-3.31618067467124,2,"Texas, United States",US,USTX,,31.106,-97.6475,TX,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20251229000000,https://www.bostonglobe.com/2025/12/28/world/china-expands-nuclear-warhead-manufacturing-capacity-research-finds/
1281309531,20251229,202512,2025,2025.9836,CHN,GUANGXI ZHUANG,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,043, Host a visit,043,04,1,2.8,2,1,2,6.01503759398496,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229004500,https://www.chinadaily.com.cn/a/202512/29/WS6951bf4da310d6866eb30d2f.html
1281310018,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,GUANGXI ZHUANG,CHN,,,,,,,,1,042, Make a visit,042,04,1,1.9,2,1,2,6.01503759398496,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20251229004500,https://www.chinadaily.com.cn/a/202512/29/WS6951bf4da310d6866eb30d2f.html
1281321873,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,020," Appeal, not specified below",020,02,1,3.0,2,1,2,4.05604719764012,4,"Xizang, Gansu, China",CH,CH15,13270,33.8738,103.952,10631385,1,Russia,RS,RS,,60.0,100.0,RS,4,"Xizang, Gansu, China",CH,CH15,13270,33.8738,103.952,10631385,20251229033000,http://en.people.cn/n3/2025/1229/c90000-20407811.html
1281321874,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,020," Appeal, not specified below",020,02,1,3.0,2,1,2,4.05604719764012,4,"Xizang, Gansu, China",CH,CH15,13270,33.8738,103.952,10631385,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20251229033000,http://en.people.cn/n3/2025/1229/c90000-20407811.html
1281321219,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,030," Express intent to cooperate, not specified below",030,03,1,4.0,20,1,20,-1.9152169356529,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20251229031500,http://www.europesun.com/news/278779506/russia-will-support-beijing-over-taiwan-lavrov
1281341084,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,042, Make a visit,042,04,1,1.9,2,1,2,-2.6948989412897,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,4,"Isfahan, Esfahan, Iran",IR,IR28,40941,32.6597,51.6714,6013426,20251229074500,https://spectator.org/a-trump-worthy-year-for-the-military/
