Country,Year,Variable,Unit,Value
Algeria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,120.8074073
Algeria,1990,Fossil Fuel Consumption,Exajoules,1.132468335
Algeria,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.000428967
Algeria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,106.63043
Algeria,1990,Energy Consumption per Capita,Gigajoules per capita,44.64702128
Algeria,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,4.389703305
Algeria,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.468075951
Algeria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,176.704768
Algeria,2008,Fossil Fuel Consumption,Exajoules,1.521942101
Algeria,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.00066896
Algeria,2008,Carbon Intensity,tonne CO2-eq per Megajoule,116.0271242
Algeria,2008,Energy Consumption per Capita,Gigajoules per capita,43.74192374
Algeria,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,3.662706016
Algeria,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.424973246
Algeria,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,190.2485119
Algeria,2012,Fossil Fuel Consumption,Exajoules,1.823515183
Algeria,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.000926976
Algeria,2012,Carbon Intensity,tonne CO2-eq per Megajoule,104.2339347
Algeria,2012,Energy Consumption per Capita,Gigajoules per capita,48.48321191
Algeria,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,3.87732936
Algeria,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.404149296
Algeria,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,231.614407
Algeria,2017,Fossil Fuel Consumption,Exajoules,2.240113615
Algeria,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.001646207
