Date,Price,Open,High,Low,Vol.,Change %
12/31/2025,78.75,78.41,82.25,78.41,,-0.94%
12/30/2025,79.5,77.91,79.8,77.91,,1.27%
12/29/2025,78.5,77.56,78.6,76.5,,1.21%
12/28/2025,80.3,77.56,82.25,76.5,,3.53%
12/26/2025,77.56,77.81,77.91,77.21,,-0.58%
12/25/2025,78.01,78.41,78.41,77.81,,-1.25%
12/24/2025,79.0,78.21,79.0,78.16,,1.28%
12/23/2025,78.0,78.36,78.76,78.0,,-1.02%
12/22/2025,78.8,80.46,80.46,78.65,,-2.11%
12/21/2025,77.56,80.46,80.46,77.21,,-3.65%
12/19/2025,80.5,79.81,81.21,79.81,,0.86%
12/18/2025,79.81,80.21,80.51,79.71,,-0.86%
12/17/2025,80.5,79.41,80.85,79.41,,1.83%
12/16/2025,79.05,79.625,79.95,79.05,,-0.57%
12/15/2025,79.5,79.71,79.775,79.05,,-0.69%
12/14/2025,80.5,79.71,81.21,79.05,,0.56%
12/12/2025,80.05,79.31,80.05,79.21,,-0.25%
12/11/2025,80.25,78.51,80.25,78.35,,2.56%
12/10/2025,78.25,77.31,78.825,77.125,,1.36%
12/09/2025,77.2,76.61,77.35,76.3,,0.85%
12/08/2025,76.55,76.81,76.96,76.25,,0.07%
12/07/2025,80.05,76.81,80.25,76.25,,4.64%
12/01/2025,78.75,77.91,82.25,75.51,,1.61%
12/01/2024,113.4955,107.31,113.5,97.85,,6.57%
11/30/2025,76.5,77.91,78.325,75.51,,-1.29%
11/23/2025,77.5,79.01,79.21,77.25,,-2.02%
11/16/2025,79.1,80.71,81.35,78.55,,-2.16%
11/09/2025,80.85,80.96,81.6,80.31,,-0.12%
11/02/2025,80.95,81.01,81.6,80.36,,0.19%
11/01/2025,77.5,81.01,81.6,77.25,,-4.08%
11/01/2024,106.4955,97.06,114.5,95.0,,9.37%
10/26/2025,80.8,79.125,81.0,78.925,,1.32%
10/19/2025,79.75,81.36,82.5,79.75,,-1.76%
10/12/2025,81.175,81.26,81.8,78.25,,-0.55%
10/05/2025,81.625,82.21,83.425,80.31,,-0.76%
10/01/2025,80.8,82.46,83.425,78.25,,-2.53%
10/01/2024,97.3705,92.91,100.3,92.7,,4.70%
09/28/2025,82.25,83.21,83.6,80.71,,-1.35%
09/21/2025,83.375,83.61,84.25,83.16,,-0.15%
09/14/2025,83.5,83.86,84.0,82.21,,-0.60%
09/07/2025,84.0,81.31,85.925,81.31,,3.38%
09/01/2025,82.9,80.0,85.925,80.0,,3.75%
09/01/2024,92.9955,91.81,94.325,87.1,,2.59%
08/31/2025,81.25,80.0,81.51,80.0,,1.69%
08/24/2025,79.9,80.71,80.95,79.75,,-0.81%
08/17/2025,80.55,79.86,80.96,79.86,,0.50%
08/10/2025,80.15,79.81,80.3,79.16,,0.19%
08/03/2025,80.0,80.01,80.325,79.15,,0.00%
08/01/2025,79.9,80.16,81.15,79.15,,-1.48%
08/01/2024,90.6509,85.9988,93.7513,84.7023,,5.41%
07/27/2025,80.0,79.41,82.6,79.3,,0.74%
07/20/2025,79.41,78.71,80.0,77.95,,0.89%
07/13/2025,78.71,77.96,78.75,77.6,,0.96%
07/06/2025,77.96,78.75,79.075,77.4,,-1.00%
07/01/2025,81.1,78.26,82.6,77.4,,3.71%
07/01/2024,85.9988,85.5316,91.3797,84.8465,,0.54%
06/29/2025,78.75,78.61,79.3,78.01,,0.32%
06/22/2025,78.5,78.46,79.0,77.85,,0.00%
06/15/2025,78.5,79.71,79.71,78.0,,-1.52%
06/08/2025,79.71,78.96,80.625,78.11,,1.09%
06/01/2025,78.85,78.51,79.85,77.25,,1.74%
06/01/2024,85.5332,90.1,91.7479,82.7377,,-5.07%
05/25/2025,77.5,79.81,80.5,76.9,,-2.52%
05/18/2025,79.5,80.91,81.01,79.325,,-1.85%
05/11/2025,81.0,82.41,82.51,79.375,,-1.82%
05/04/2025,82.5,82.86,84.625,80.25,,-0.30%
05/01/2025,77.5,82.0,84.625,76.9,,-5.49%
05/01/2024,90.1,93.0525,93.7475,88.2636,,-3.17%
04/27/2025,82.75,82.61,83.05,80.875,,0.15%
04/20/2025,82.625,81.81,84.1,80.36,,0.63%
04/13/2025,82.11,83.36,84.0,80.61,,-1.37%
04/06/2025,83.25,84.86,87.5,82.5,,-1.47%
04/01/2025,82.0,84.51,87.5,80.36,,-1.20%
04/01/2024,93.0525,92.48,94.5263,91.2425,,0.62%
03/30/2025,84.4955,83.86,86.5,83.0,,-0.53%
03/23/2025,84.9455,84.0,85.7,83.375,,0.53%
03/16/2025,84.4955,85.51,85.86,81.01,,-1.17%
03/09/2025,85.4955,88.825,88.91,83.375,,-5.00%
03/02/2025,89.9955,89.51,90.4,88.75,,0.70%
03/01/2025,83.0,89.51,90.4,81.01,,-7.13%
03/01/2024,92.48,91.15,93.435,90.097,,1.46%
02/23/2025,89.3705,89.31,89.5,85.375,,0.99%
02/16/2025,88.4955,92.01,92.375,87.3,,-2.88%
02/09/2025,91.1205,97.31,98.075,89.0,,-6.06%
02/02/2025,96.9955,98.51,100.7,96.475,,-1.60%
02/01/2025,89.375,98.51,100.7,85.375,,-9.33%
02/01/2024,91.15,90.0175,93.2849,89.836,,1.26%
01/26/2025,98.5705,97.91,99.875,96.61,,0.79%
01/19/2025,97.7955,102.21,102.45,96.0,,-4.59%
01/12/2025,102.4955,101.56,103.625,101.2,,0.74%
01/06/2026,80.81,80.85,83.2532,80.81,,-0.06%
01/05/2026,80.86,79.71,81.35,79.71,,0.70%
01/04/2026,80.61,79.71,83.2532,79.71,,0.39%
01/02/2026,80.3,78.75,80.3,78.75,,1.97%
01/01/2026,78.75,78.75,78.75,78.75,,0.00%
01/01/2025,98.575,113.5,115.0,96.0,,-13.15%
