Year,MUV_calculated
1960,19.14191419141914
1961,19.52108276939094
1962,19.88162496637073
1963,19.50848745882949
1964,19.7903668579985
1965,19.990042320139406
1966,20.707831325301203
1967,20.90099528548979
1968,20.714285714285715
1969,21.829855537720704
1970,23.21857485988791
1971,24.419557497951377
1972,26.62135372415746
1973,30.88960342979636
1974,37.637985785573875
1975,41.81059024482824
1976,42.318736539842064
1977,45.736301369863014
1978,53.15227934044617
1979,59.30590915181563
1980,65.2257077276205
1981,65.29955770004021
1982,63.35626253940957
1983,61.66883963494133
1984,60.31448355452973
1985,59.68521115786193
1986,68.64035087719299
1987,75.2415458937198
1988,80.10792249202844
1989,79.6500920810313
1990,82.6745718050066
1991,81.89655172413795
1992,83.425
1993,86.31096739423336
1994,83.72151898734177
1995,91.90721649484536
1996,90.17919478706075
1997,85.91746327815342
1998,82.17934165720771
1999,80.59138800623823
2000,79.5599999999989
2001,76.58000000000469
2002,75.67999999999311
2003,79.61999999999288
2004,85.0299999999955
2005,87.69999999999268
2006,89.92999999999296
2007,95.42999999999631
2008,102.82999999999531
2009,96.46000000000583
2010,100.0
2011,111.0399999999971
2012,110.23000000000305
2013,109.75000000000644
2014,108.25000000000277
2015,97.87000000000965
2016,94.03000000000694
2017,97.2900000000066
2018,101.86000000000416
2019,99.48000000000623
2020,97.90000000000094
2021,109.39999999999495
2022,117.44999999999908
2023,114.10000000000228
2024,115.10000000000443
