t,i,j,k,v,q
2017,156,643,10620,48.641,3.124
2017,156,643,10690,1.927,0.207
2017,156,643,20810,3185.86,951.578
2017,156,643,20890,39.6,8.5
2017,156,643,30111,112.254,1.23
2017,156,643,30199,41.9,7.5
2017,156,643,30312,854.81,427.405
2017,156,643,30313,1203.388,191.157
2017,156,643,30314,2959.993,419.009
2017,156,643,30319,1861.192,443.902
2017,156,643,30323,23.903,3.738
2017,156,643,30326,734.471,45.38
2017,156,643,30334,85.448,10.478
2017,156,643,30339,6.273,0.51
2017,156,643,30343,289.809,133.37
2017,156,643,30344,116.351,26.229
2017,156,643,30351,16.543,27.12
2017,156,643,30353,647.311,475.476
2017,156,643,30354,12409.517,8779.092
2017,156,643,30359,27449.078,27801.641
2017,156,643,30366,3635.148,2493.62
2017,156,643,30367,67.334,82.5
2017,156,643,30369,2154.708,1634.013
2017,156,643,30381,735.554,228.99
2017,156,643,30389,32298.053,10732.624
2017,156,643,30391,536.608,67.848
2017,156,643,30461,20412.4,9677.353
2017,156,643,30471,43.264,7.51
2017,156,643,30474,1689.645,974.169
2017,156,643,30475,7947.256,5120.615
2017,156,643,30483,1302.039,342.822
2017,156,643,30487,3999.365,521.042
2017,156,643,30489,2416.348,524.744
2017,156,643,30494,511.942,137.86
2017,156,643,30496,162.134,42.748
2017,156,643,30499,1581.525,512.311
2017,156,643,30520,3776.425,576.258
2017,156,643,30531,44.267,10.658
2017,156,643,30532,3521.825,1348.896
2017,156,643,30539,3010.458,594.582
2017,156,643,30544,4682.48,308.0
2017,156,643,30549,95.323,7.575
2017,156,643,30551,338.945,113.122
2017,156,643,30552,4.55,1.0
2017,156,643,30553,331.275,86.932
2017,156,643,30554,61.08,14.67
2017,156,643,30559,2091.849,462.444
2017,156,643,30617,41699.98,6601.296
2017,156,643,30619,400.0,50.0
2017,156,643,30636,0.625,0.016
2017,156,643,30695,2.589,0.515
2017,156,643,30699,5.247,1.615
2017,156,643,30722,3194.571,241.157
2017,156,643,30729,10.73,1.85
2017,156,643,30732,334.158,132.139
2017,156,643,30739,17.1,10.32
2017,156,643,30743,19942.426,6137.609
2017,156,643,30749,11374.758,5425.477
2017,156,643,30752,3848.832,874.74
2017,156,643,30759,393.663,24.135
2017,156,643,30779,0.19,0.002
2017,156,643,30792,868.245,599.173
2017,156,643,30799,86.602,25.076
2017,156,643,30890,99.223,30.237
2017,156,643,41000,101.372,0.974
2017,156,643,50210,1335.005,175.82
2017,156,643,50290,186.205,3.734
2017,156,643,50800,15.161,7.092
2017,156,643,51191,15.711,8.624
2017,156,643,51199,333.997,34.146
2017,156,643,60120,46.254,13.62
2017,156,643,60290,335.246,78.458
2017,156,643,60311,0.057,0.01
2017,156,643,60312,0.016,0.003
