"Commodity code","Commodity","Trading partner code","Trading partner","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"01012900","Live horses, not pure-bred breeding","110","Hong Kong£¬China","39","Other","44","Guangdong Province","47690","Kilogram","93","Number of item","19,121,826",
"01012900","Live horses, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","200","Kilogram","1","Number of item","1,693",
"01012900","Live horses, not pure-bred breeding","301","Belgium","10","Ordinary Trade","11","Beijing","7600","Kilogram","19","Number of item","1,008,489",
"01022900","Live cattles, not pure-bred breeding","119","Lao","10","Ordinary Trade","53","Yunnan Province","9400","Kilogram","21","Number of item","18,832",
"01029010","Other live pure-bred breeding bovine animals","149","Uzbekistan","10","Ordinary Trade","11","Beijing","43500","Kilogram","87","Number of item","260,300",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","11","Beijing","86305","Kilogram","123","Number of item","394,680",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","15","Inner Mongolia Autonomous Region","111830","Kilogram","160","Number of item","580,499",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","32","Jiangsu Province","111500","Kilogram","179","Number of item","819,860",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","34","Anhui Province","94950","Kilogram","144","Number of item","398,141",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","42","Hubei Province","13900","Kilogram","20","Number of item","70,542",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","8300","Kilogram","13","Number of item","71,500",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","61","Shaanxi Province","80750","Kilogram","134","Number of item","600,737",
"01029090","Other live bovine animals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","62","Gansu Province","9030","Kilogram","15","Number of item","69,664",
"01029090","Other live bovine animals, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","39900","Kilogram","48","Number of item","217,473",
"01029090","Other live bovine animals, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","61","Shaanxi Province","27600","Kilogram","35","Number of item","148,655",
"01029090","Other live bovine animals, not pure-bred breeding","124","Mongolia","19","Border Trade","15","Inner Mongolia Autonomous Region","198880","Kilogram","393","Number of item","942,589",
"01031000","Live pure-bred breeding swine","302","Denmark","10","Ordinary Trade","11","Beijing","51000","Kilogram","918","Number of item","2,208,734",
"01031000","Live pure-bred breeding swine","305","France","10","Ordinary Trade","11","Beijing","51199","Kilogram","615","Number of item","1,778,691",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","33","Zhejiang Province","2681157","Kilogram","21989","Number of item","6,902,451",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","35","Fujian Province","11500","Kilogram","100","Number of item","27,028",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","36","Jiangxi Province","647550","Kilogram","5286","Number of item","1,617,010",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","41","Henan Province","986300","Kilogram","7913","Number of item","2,257,771",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","42","Hubei Province","1051750","Kilogram","8344","Number of item","2,441,290",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","43","Hunan Province","195730","Kilogram","1592","Number of item","489,001",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","6258144","Kilogram","50288","Number of item","14,026,776",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","45","Guangxi Zhuang Autonomous Region","221400","Kilogram","1800","Number of item","693,227",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","52","Guizhou Province","21750","Kilogram","200","Number of item","70,000",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","36","Jiangxi Province","25000","Kilogram","200","Number of item","77,224",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","43","Hunan Province","327600","Kilogram","2520","Number of item","947,286",
"01039200","Live swine wt.¡Ý50kg, not pure-bred breeding","121","Macao,China","10","Ordinary Trade","44","Guangdong Province","844365","Kilogram","7418","Number of item","2,538,721",
"01041090","Live sheep, not pure-bred breeding","124","Mongolia","19","Border Trade","15","Inner Mongolia Autonomous Region","587820","Kilogram","11800","Number of item","665,134",
"01041090","Live sheep, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","5040","Kilogram","252","Number of item","42,664",
"01042090","Live goats, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","45","Guangxi Zhuang Autonomous Region","2900","Kilogram","80","Number of item","25,742",
"01042090","Live goats, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","61","Shaanxi Province","3700","Kilogram","110","Number of item","28,315",
"01042090","Live goats, not pure-bred breeding","125","Nepal","19","Border Trade","54","Tibet Autonomous Region","14180","Kilogram","709","Number of item","120,035",
"01051110","Live chicken¡Ü185g for pure-bred breeding","305","France","10","Ordinary Trade","11","Beijing","10077","Kilogram","231255","Number of item","9,530,139",
"01051190","Live chicken¡Ü185g, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","44","Guangdong Province","14066","Kilogram","336535","Number of item","205,918",
"01061110","Primates, for pure-bred breeding","107","Cambodia","10","Ordinary Trade","46","Hainan Province","6990","Kilogram","2000","Number of item","15,913,906",
"01061221","Seals,sea lions&walruses, for pure-bred breeding","202","Angola","10","Ordinary Trade","21","Liaoning Province","300","Kilogram","25","Number of item","500,000",
"01061490","Rabbits&hares, not for pure-bred breeding","122","Malaysia","10","Ordinary Trade","37","Shandong Province","50","Kilogram","18","Number of item","6,745",
"01061490","Rabbits&hares, not for pure-bred breeding","132","Singapore","10","Ordinary Trade","37","Shandong Province","82","Kilogram","37","Number of item","13,573",
"01061490","Rabbits&hares, not for pure-bred breeding","133","Republic of Korea","10","Ordinary Trade","32","Jiangsu Province","963","Kilogram","342","Number of item","38,231",
"01061990","Other edible mammals, not pure-bred breeding","107","Cambodia","10","Ordinary Trade","53","Yunnan Province","8","Kilogram","5","Number of item","500",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","15","Number of item","8,606",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","10","Ordinary Trade","32","Jiangsu Province","17","Kilogram","801","Number of item","25,936",
"01061990","Other edible mammals, not pure-bred breeding","110","Hong Kong£¬China","39","Other","44","Guangdong Province","1","Kilogram","28","Number of item","280",
"01061990","Other edible mammals, not pure-bred breeding","111","India","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","57","Number of item","8,793",
"01061990","Other edible mammals, not pure-bred breeding","115","Israel","10","Ordinary Trade","32","Jiangsu Province","1","Kilogram","44","Number of item","9,072",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","11","Beijing","387","Kilogram","771","Number of item","666,856",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","21","Liaoning Province","140","Kilogram","22","Number of item","1,554",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","31","Shanghai Province","0","Kilogram","10","Number of item","3,000",
"01061990","Other edible mammals, not pure-bred breeding","116","Japan","10","Ordinary Trade","32","Jiangsu Province","71","Kilogram","427","Number of item","188,333",
