typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20170101,2017,1,201701,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3159813913.0,0.0,3159813913.0,4,False,True
C,M,20170201,2017,2,201702,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3025372864.0,0.0,3025372864.0,4,False,True
C,M,20170301,2017,3,201703,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3497521718.0,0.0,3497521718.0,4,False,True
C,M,20170401,2017,4,201704,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3339516628.0,0.0,3339516628.0,4,False,True
C,M,20170501,2017,5,201705,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3846448227.0,0.0,3846448227.0,4,False,True
C,M,20170601,2017,6,201706,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3361153385.0,0.0,3361153385.0,4,False,True
C,M,20170701,2017,7,201707,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3081067075.0,0.0,3081067075.0,4,False,True
C,M,20170801,2017,8,201708,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,2937741839.0,0.0,2937741839.0,4,False,True
C,M,20170901,2017,9,201709,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3889614001.0,0.0,3889614001.0,4,False,True
C,M,20171001,2017,10,201710,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3170593743.0,0.0,3170593743.0,4,False,True
C,M,20171101,2017,11,201711,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3970303153.0,0.0,3970303153.0,4,False,True
C,M,20171201,2017,12,201712,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4111146510.0,0.0,4111146510.0,4,False,True
C,M,20180101,2018,1,201801,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4439385876.0,0.0,4439385876.0,4,False,True
C,M,20180201,2018,2,201802,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,3911383898.0,0.0,3911383898.0,4,False,True
C,M,20180301,2018,3,201803,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4564968526.0,0.0,4564968526.0,4,False,True
C,M,20180401,2018,4,201804,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4559884007.0,0.0,4559884007.0,4,False,True
C,M,20180501,2018,5,201805,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5074579079.0,0.0,5074579079.0,4,False,True
C,M,20180601,2018,6,201806,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4223084393.0,0.0,4223084393.0,4,False,True
C,M,20180701,2018,7,201807,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4728642474.0,0.0,4728642474.0,4,False,True
C,M,20180801,2018,8,201808,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4921177863.0,0.0,4921177863.0,4,False,True
C,M,20180901,2018,9,201809,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5689374611.0,0.0,5689374611.0,4,False,True
C,M,20181001,2018,10,201810,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5985207209.0,0.0,5985207209.0,4,False,True
C,M,20181101,2018,11,201811,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5761176899.0,0.0,5761176899.0,4,False,True
C,M,20181201,2018,12,201812,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5282228710.0,0.0,5282228710.0,4,False,True
C,M,20190101,2019,1,201901,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4997566135.0,0.0,4997566135.0,4,False,True
C,M,20190201,2019,2,201902,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4191435516.0,0.0,4191435516.0,4,False,True
C,M,20190301,2019,3,201903,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,4624543774.0,0.0,4624543774.0,4,False,True
C,M,20190401,2019,4,201904,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5269164242.0,0.0,5269164242.0,4,False,True
C,M,20190501,2019,5,201905,156,,,M,,643,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,5389545473.0,0.0,5389545473.0,4,False,True
