Section ID,Section,HS4 ID,HS4,Year,Russia's Exports,China's Exports,PCI
5,Mineral Products,2710,Refined Petroleum,2018,3590519978.0,115619413.0,-0.76
9,Wood Products,4407,Sawn Wood,2018,2343190871.0,267712.0,-0.99
16,Machines,8411,Gas Turbines,2018,1290787322.0,12028959.0,0.49
1,Animal Products,303,Non-fillet Frozen Fish,2018,1207260049.0,75703727.0,-1.11
15,Metals,7403,Refined Copper,2018,1076066713.0,4139.0,-1.21
10,Paper Goods,4703,Sulfate Chemical Woodpulp,2018,1024242947.0,833985.0,0.21
6,Chemical Products,3104,Potassic Fertilizers,2018,328818589.0,131457.0,-1.01
5,Mineral Products,2608,Zinc Ore,2018,280411738.0,5290.0,-1.53
6,Chemical Products,3105,Mixed Mineral or Chemical Fertilizers,2018,258738751.0,3046921.0,-1.21
2,Vegetable Products,1201,Soybeans,2018,244201062.0,175692.0,-1.14
1,Animal Products,306,Crustaceans,2018,230799157.0,39120318.0,-2.19
5,Mineral Products,2601,Iron Ore,2018,216185667.0,339.0,-1.32
5,Mineral Products,2711,Petroleum Gas,2018,210570236.0,313416.0,-1.66
7,Plastics and Rubbers,4002,Synthetic Rubber,2018,206544203.0,19500730.0,0.98
6,Chemical Products,2933,Nitrogen Heterocyclic Compounds,2018,198424752.0,198725975.0,1.09
3,Animal and Vegetable Bi-Products,1512,Seed Oils,2018,156890669.0,60887.0,-1.02
17,Transportation,8802,"Planes, Helicopters, and/or Spacecraft",2018,152997566.0,1267541.0,0.22
3,Animal and Vegetable Bi-Products,1507,Soybean Oil,2018,141941098.0,7465.0,-1.07
16,Machines,8401,Nuclear Reactors,2018,136780128.0,75300.0,0.9
6,Chemical Products,2844,Radioactive Chemicals,2018,134841124.0,14931.0,-0.25
10,Paper Goods,4804,Kraft Paper,2018,134029014.0,200015.0,-0.06
18,Instruments,9013,LCDs,2018,117107513.0,587786407.0,0.92
4,Foodstuffs,1806,Chocolate,2018,92787660.0,1839120.0,0.02
7,Plastics and Rubbers,3901,Ethylene Polymers,2018,84802068.0,25664703.0,0.39
6,Chemical Products,3818,Disc Chemicals for Electronics,2018,82535455.0,26015488.0,1.72
10,Paper Goods,4801,Newsprint,2018,73285315.0,12763.0,0.68
7,Plastics and Rubbers,3908,Polyamides,2018,69369316.0,754540.0,1.53
3,Animal and Vegetable Bi-Products,1514,Rapeseed Oil,2018,65402002.0,23474.0,0.39
7,Plastics and Rubbers,3902,Propylene Polymers,2018,55024924.0,3376561.0,0.67
15,Metals,7601,Raw Aluminium,2018,54044481.0,673539.0,-0.96
5,Mineral Products,2713,Petroleum Coke,2018,47605636.0,88615457.0,-0.74
1,Animal Products,307,Molluscs,2018,42880509.0,73662098.0,-1.31
7,Plastics and Rubbers,3907,Polyacetals,2018,41996619.0,214398007.0,0.87
15,Metals,8108,Titanium,2018,38854941.0,12185639.0,0.81
5,Mineral Products,2503,Sulphur,2018,37102767.0,140.0,-1.16
18,Instruments,9031,Other Measuring Instruments,2018,35321216.0,74525859.0,1.14
15,Metals,7502,Raw Nickel,2018,30690870.0,288.0,0.15
9,Wood Products,4408,Veneer Sheets,2018,29369627.0,8834245.0,-0.8
17,Transportation,8803,"Aircraft parts (gliders, balloons, and powered aircraft)",2018,28499656.0,37877898.0,-0.11
2,Vegetable Products,1101,Wheat Flours,2018,28382703.0,101832.0,-1.59
14,Precious Metals,7104,Synthetic Reconstructed Jewellery Stones,2018,27812588.0,2091999.0,0.4
6,Chemical Products,2810,Boron,2018,24665037.0,22809.0,-0.8
9,Wood Products,4412,Plywood,2018,23339610.0,15765498.0,-1.27
15,Metals,7606,Aluminium Plating,2018,21499267.0,46450057.0,0.14
4,Foodstuffs,1905,Baked Goods,2018,21152943.0,6244929.0,-0.46
4,Foodstuffs,2203,Beer,2018,20942345.0,4626990.0,-0.56
15,Metals,7408,Copper Wire,2018,20870264.0,3279915.0,-0.13
15,Metals,8109,Zirconium,2018,20000472.0,48626.0,
15,Metals,8105,Cobalt,2018,19584443.0,996519.0,-0.92
8,Animal Hides,4107,Leather of Other Animals,2018,18391994.0,480035.0,
17,Transportation,8703,Cars,2018,16008648.0,179129454.0,0.92
5,Mineral Products,2530,Other Mineral,2018,15835296.0,3603620.0,-1.52
17,Transportation,8901,Passenger and Cargo Ships,2018,15388820.0,149259803.0,-0.23
5,Mineral Products,2707,Coal Tar Oil,2018,15231187.0,117501.0,-0.07
14,Precious Metals,7103,Precious Stones,2018,14954683.0,501384.0,-1.64
15,Metals,7604,Aluminium Bars,2018,14080243.0,36467115.0,-0.1
16,Machines,8413,Liquid Pumps,2018,14000087.0,311015771.0,0.66
2,Vegetable Products,1001,Wheat,2018,13902644.0,3869.0,-0.51
6,Chemical Products,3102,Nitrogenous Fertilizers,2018,12880100.0,60520.0,-0.85
10,Paper Goods,4901,Brochures,2018,12411655.0,7987007.0,0.25
16,Machines,8541,Semiconductor Devices,2018,11440819.0,216434478.0,0.97
16,Machines,8517,Telephones,2018,10689138.0,5132203777.0,0.29
1,Animal Products,505,Bird Feathers and Skins,2018,10462360.0,2800.0,0.75
6,Chemical Products,2905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2018,10175898.0,49350284.0,0.45
9,Wood Products,4419,Wood Kitchenware,2018,9701087.0,14393513.0,-0.61
15,Metals,7901,Raw Zinc,2018,9483191.0,3284508.0,-0.57
16,Machines,8483,Transmissions,2018,9410497.0,149454631.0,1.28
16,Machines,8523,Blank Audio Media,2018,9400527.0,85047303.0,1.17
16,Machines,8540,Cathode Tubes,2018,9312775.0,1075039.0,
9,Wood Products,4421,Other Wood Articles,2018,9067974.0,21212506.0,-0.73
10,Paper Goods,4706,Recovered Paper Pulp,2018,8988355.0,63481.0,
5,Mineral Products,2519,Magnesium Carbonate,2018,8894070.0,40939866.0,-0.29
16,Machines,8543,Other Electrical Machinery,2018,8746121.0,166037063.0,0.89
16,Machines,8529,Broadcasting Accessories,2018,8313216.0,994091060.0,0.49
18,Instruments,9032,Thermostats,2018,8306312.0,51373151.0,0.9
6,Chemical Products,2902,Cyclic Hydrocarbons,2018,8194957.0,2058272.0,0.79
4,Foodstuffs,1704,Confectionery Sugar,2018,8114147.0,13812062.0,-0.89
16,Machines,8536,Low-voltage Protection Equipment,2018,7998335.0,297050287.0,0.36
15,Metals,7202,Ferroalloys,2018,7926762.0,18005878.0,-0.38
4,Foodstuffs,2401,Raw Tobacco,2018,7914035.0,45753058.0,-1.92
7,Plastics and Rubbers,4011,Rubber Tires,2018,7690177.0,360217805.0,0.08
18,Instruments,9014,Compasses,2018,7274303.0,1126108.0,0.74
18,Instruments,9026,Gas and Liquid Flow Measuring Instruments,2018,6721402.0,52949278.0,1.16
13,Stone And Glass,6815,Other Stone Articles,2018,6214869.0,124218602.0,0.58
16,Machines,8403,Central Heating Boilers,2018,5931632.0,8851808.0,0.74
2,Vegetable Products,1008,Buckwheat,2018,5704738.0,39501.0,-1.43
2,Vegetable Products,811,Frozen Fruits and Nuts,2018,5671634.0,27811430.0,-0.61
2,Vegetable Products,802,Other Nuts,2018,5604072.0,58930829.0,-1.1
6,Chemical Products,3815,Reaction and Catalytic Products,2018,5603279.0,23093378.0,1.0
16,Machines,8542,Integrated Circuits,2018,5490359.0,95419516.0,0.98
21,Arts and Antiques,9701,Paintings,2018,5230825.0,1068666.0,0.85
6,Chemical Products,2926,Nitrile Compounds,2018,5169246.0,6531994.0,0.98
4,Foodstuffs,2202,Flavored Water,2018,5154100.0,3385841.0,-0.68
