Section ID,Section,HS4 ID,HS4,Year,Exports from Russia to China (USD),PCI
1,Animal Products,101,Horses,2018,29200.0,-0.29
1,Animal Products,106,Other Animals,2018,2223828.0,-1.54
1,Animal Products,203,Pig Meat,2018,83229.0,0.78
1,Animal Products,207,Poultry Meat,2018,3725.0,-0.05
1,Animal Products,302,Non-fillet Fresh Fish,2018,386773.0,-0.66
1,Animal Products,303,Non-fillet Frozen Fish,2018,1207260049.0,-1.11
1,Animal Products,304,Fish Fillets,2018,2692105.0,-1.33
1,Animal Products,305,Dried/Salted/Smoked/Brined Fish,2018,527878.0,-0.82
1,Animal Products,306,Crustaceans,2018,230799157.0,-2.19
1,Animal Products,307,Molluscs,2018,42880509.0,-1.31
1,Animal Products,308,"Aquatic invertebrates, other than crustaceans and molluscs",2018,4102543.0,
1,Animal Products,401,Milk,2018,9930.0,-0.0
1,Animal Products,402,Concentrated Milk,2018,391990.0,-0.95
1,Animal Products,403,Fermented Milk Products,2018,184.0,-0.15
1,Animal Products,406,Cheese,2018,3442.0,-0.05
1,Animal Products,409,Honey,2018,2395989.0,-1.21
1,Animal Products,505,Bird Feathers and Skins,2018,10462360.0,0.75
1,Animal Products,507,Raw Bones,2018,6406637.0,
1,Animal Products,510,Pharmaceutical Animal Products,2018,9000.0,
1,Animal Products,511,Other Inedible Animal Products,2018,1593344.0,-0.61
2,Vegetable Products,701,Potatoes,2018,2818.0,-0.79
2,Vegetable Products,702,Tomatoes,2018,7956.0,-1.75
2,Vegetable Products,703,Onions,2018,9176.0,-1.65
2,Vegetable Products,705,Lettuce,2018,233.0,-0.89
2,Vegetable Products,706,Root Vegetables,2018,2013.0,-0.71
2,Vegetable Products,707,Cucumbers,2018,1222.0,-1.03
2,Vegetable Products,709,Other Vegetables,2018,1908.0,-1.26
2,Vegetable Products,710,Frozen Vegetables,2018,77.0,-0.71
2,Vegetable Products,711,Preserved Vegetables,2018,597901.0,
2,Vegetable Products,712,Dried Vegetables,2018,42455.0,-1.2
2,Vegetable Products,713,Dried Legumes,2018,62879.0,-2.03
2,Vegetable Products,802,Other Nuts,2018,5604072.0,-1.1
2,Vegetable Products,804,Tropical Fruits,2018,1960.0,-1.64
2,Vegetable Products,805,Citrus,2018,3607.0,-1.3
2,Vegetable Products,806,Grapes,2018,1851.0,-1.15
2,Vegetable Products,808,Apples and Pears,2018,23020.0,-1.07
2,Vegetable Products,809,Pitted Fruits,2018,4795.0,-1.31
2,Vegetable Products,810,Other Fruits,2018,284.0,-1.19
2,Vegetable Products,811,Frozen Fruits and Nuts,2018,5671634.0,-0.61
2,Vegetable Products,813,Dried Fruits,2018,7707.0,-1.44
2,Vegetable Products,901,Coffee,2018,100446.0,-1.23
2,Vegetable Products,902,Tea,2018,431297.0,-1.69
2,Vegetable Products,903,Mate,2018,115.0,
2,Vegetable Products,904,Pepper,2018,14645.0,-1.77
2,Vegetable Products,906,Cinnamon,2018,264.0,
2,Vegetable Products,909,Spice Seeds,2018,212.0,
2,Vegetable Products,910,Spices,2018,4746.0,-1.94
2,Vegetable Products,1001,Wheat,2018,13902644.0,-0.51
2,Vegetable Products,1004,Oats,2018,311436.0,0.1
2,Vegetable Products,1005,Corn,2018,4507790.0,-1.21
2,Vegetable Products,1006,Rice,2018,486122.0,-1.96
2,Vegetable Products,1008,Buckwheat,2018,5704738.0,-1.43
2,Vegetable Products,1101,Wheat Flours,2018,28382703.0,-1.59
2,Vegetable Products,1102,Cereal Flours,2018,23781.0,-1.26
2,Vegetable Products,1103,Cereal Meal and Pellets,2018,98833.0,
2,Vegetable Products,1104,Processed Cereals,2018,274264.0,-0.46
2,Vegetable Products,1105,Potato Flours,2018,199586.0,0.41
