Section ID,Section,HS4 ID,HS4,Tariff 2019,Imports (USD) 2019,PCI 2019,Year,Tariff 2020,Imports (USD) 2020,PCI 2020,Tariff 2021,Imports (USD) 2021,PCI 2021,Tariff 2023,Imports (USD) 2023,PCI 2023
1,Animal Products,101,Horses,2.8,0.0,0.25,2019,,,,,,,,,
1,Animal Products,102,Bovine,2.0,0.0,-0.78,2019,,,,,,,,,
1,Animal Products,103,Pigs,2.5,0.0,0.58,2019,,,,,,,,,
1,Animal Products,104,Sheep and Goats,2.2,0.0,-1.63,2019,,,,,,,,,
1,Animal Products,105,Poultry,1.1,0.0,0.01,2019,,,,,,,,,
1,Animal Products,106,Other Animals,2.2,368889.0,,2019,,,,,,,,,
1,Animal Products,201,Bovine Meat,11.3,0.0,-0.28,2019,,,,,,,,,
1,Animal Products,202,Frozen Bovine Meat,11.3,0.0,-1.01,2019,,,,,,,,,
1,Animal Products,203,Pig Meat,32.5,0.0,0.77,2019,,,,,,,,,
1,Animal Products,206,Edible Offal,3.3,0.0,-0.31,2019,,,,,,,,,
1,Animal Products,207,Poultry Meat,73.1,1040298.0,0.06,2019,,,,,,,,,
1,Animal Products,210,Preserved Meat,11.3,0.0,0.45,2019,,,,,,,,,
1,Animal Products,301,Live Fish,6.3,502061.0,-0.83,2019,,,,,,,,,
1,Animal Products,302,Non-fillet Fresh Fish,4.4,0.0,-0.48,2019,,,,,,,,,
1,Animal Products,303,Non-fillet Frozen Fish,4.7,117051887.0,-0.86,2019,,,,,,,,,
1,Animal Products,304,Fish Fillets,3.9,63009589.0,-0.7,2019,,,,,,,,,
1,Animal Products,305,Dried/Salted/Smoked/Brined Fish,5.5,18067870.0,0.23,2019,,,,,,,,,
1,Animal Products,306,Crustaceans,4.8,23845963.0,-1.92,2019,,,,,,,,,
1,Animal Products,307,Molluscs,5.0,46893424.0,-1.36,2019,,,,,,,,,
1,Animal Products,308,"Aquatic invertebrates, other than crustaceans and molluscs",4.7,497281.0,,2019,,,,,,,,,
1,Animal Products,401,Milk,10.6,0.0,-0.0,2019,,,,,,,,,
1,Animal Products,402,Concentrated Milk,10.9,0.0,-0.83,2019,,,,,,,,,
1,Animal Products,404,Whey and other milk products,11.0,0.0,0.31,2019,,,,,,,,,
1,Animal Products,407,Eggs,6.5,0.0,-0.59,2019,,,,,,,,,
1,Animal Products,408,Processed Egg Products,9.4,0.0,,2019,,,,,,,,,
1,Animal Products,409,Honey,11.3,5476.0,-1.08,2019,,,,,,,,,
1,Animal Products,410,Other Edible Animal Products,11.3,57679.0,-0.89,2019,,,,,,,,,
1,Animal Products,501,Human Hair,3.8,0.0,,2019,,,,,,,,,
1,Animal Products,502,Pig Hair,7.5,812269.0,,2019,,,,,,,,,
1,Animal Products,504,Animal Organs,3.8,0.0,-1.25,2019,,,,,,,,,
1,Animal Products,505,Bird Feathers and Skins,7.5,0.0,0.31,2019,,,,,,,,,
1,Animal Products,506,Processed Bones,7.5,0.0,,2019,,,,,,,,,
1,Animal Products,507,Raw Bones,7.5,0.0,,2019,,,,,,,,,
1,Animal Products,508,Coral and Shells,7.5,13996.0,,2019,,,,,,,,,
1,Animal Products,510,Pharmaceutical Animal Products,3.8,0.0,,2019,,,,,,,,,
1,Animal Products,511,Other Inedible Animal Products,4.1,198381.0,-0.79,2019,,,,,,,,,
2,Vegetable Products,601,Bulbs and Roots,3.8,62930.0,-0.39,2019,,,,,,,,,
2,Vegetable Products,602,"Other live plants, cuttings and slips;
mushroom spawn",3.2,512682.0,-0.93,2019,,,,,,,,,
2,Vegetable Products,604,Plant foliage,3.8,457248.0,-0.94,2019,,,,,,,,,
2,Vegetable Products,701,Potatoes,7.5,15776007.0,-0.7,2019,,,,,,,,,
2,Vegetable Products,703,Onions,11.3,73071565.0,-2.1,2019,,,,,,,,,
2,Vegetable Products,704,Cabbages,12.1,36309167.0,-1.02,2019,,,,,,,,,
2,Vegetable Products,705,Lettuce,15.0,3952834.0,-0.62,2019,,,,,,,,,
2,Vegetable Products,706,Root Vegetables,11.9,27710744.0,-0.76,2019,,,,,,,,,
2,Vegetable Products,708,Legumes,11.3,126993.0,-2.27,2019,,,,,,,,,
2,Vegetable Products,709,Other Vegetables,7.7,78604018.0,-1.1,2019,,,,,,,,,
2,Vegetable Products,710,Frozen Vegetables,8.6,23758636.0,-0.67,2019,,,,,,,,,
2,Vegetable Products,711,Preserved Vegetables,8.9,337443.0,,2019,,,,,,,,,
2,Vegetable Products,712,Dried Vegetables,9.4,30295672.0,-1.17,2019,,,,,,,,,
2,Vegetable Products,713,Dried Legumes,7.6,5066189.0,-1.99,2019,,,,,,,,,
2,Vegetable Products,714,Cassava,7.8,107059.0,-2.12,2019,,,,,,,,,
2,Vegetable Products,801,"Coconuts, Brazil Nuts, and Cashews",2.0,58578.0,-2.49,2019,,,,,,,,,
2,Vegetable Products,802,Other Nuts,3.0,23594941.0,-1.39,2019,,,,,,,,,
2,Vegetable Products,804,Tropical Fruits,3.3,15927637.0,-1.71,2019,,,,,,,,,
2,Vegetable Products,805,Citrus,3.8,163274565.0,-1.16,2019,,,,,,,,,
2,Vegetable Products,806,Grapes,3.1,13159652.0,-1.26,2019,,,,,,,,,
2,Vegetable Products,807,Melons,3.3,2352330.0,-1.86,2019,,,,,,,,,
2,Vegetable Products,808,Apples and Pears,3.8,28751651.0,-0.72,2019,,,,,,,,,
2,Vegetable Products,809,Pitted Fruits,3.0,28589511.0,-1.32,2019,,,,,,,,,
2,Vegetable Products,810,Other Fruits,3.4,15514361.0,-1.22,2019,,,,,,,,,
2,Vegetable Products,811,Frozen Fruits and Nuts,6.8,33457151.0,-0.59,2019,,,,,,,,,
2,Vegetable Products,812,Preserved Fruits and Nuts,7.1,0.0,,2019,,,,,,,,,
2,Vegetable Products,813,Dried Fruits,5.0,4172396.0,-1.46,2019,,,,,,,,,
2,Vegetable Products,814,Citrus and Melon Peels,7.5,175922.0,,2019,,,,,,,,,
2,Vegetable Products,901,Coffee,1.3,8088054.0,-1.23,2019,,,,,,,,,
2,Vegetable Products,902,Tea,0.0,42511639.0,-1.57,2019,,,,,,,,,
2,Vegetable Products,903,Mate,3.8,0.0,,2019,,,,,,,,,
2,Vegetable Products,904,Pepper,3.4,6227844.0,-2.11,2019,,,,,,,,,
2,Vegetable Products,905,Vanilla,3.8,0.0,-1.97,2019,,,,,,,,,
2,Vegetable Products,906,Cinnamon,2.3,14397.0,,2019,,,,,,,,,
2,Vegetable Products,907,Cloves,3.8,0.0,,2019,,,,,,,,,
2,Vegetable Products,908,"Nutmeg, mace and cardamons",3.8,1573.0,-1.83,2019,,,,,,,,,
2,Vegetable Products,909,Spice Seeds,3.5,74049.0,-1.59,2019,,,,,,,,,
2,Vegetable Products,910,Spices,3.0,14181527.0,-1.5,2019,,,,,,,,,
2,Vegetable Products,1001,Wheat,5.0,0.0,-0.51,2019,,,,,,,,,
2,Vegetable Products,1002,Rye,5.0,0.0,,2019,,,,,,,,,
2,Vegetable Products,1003,Barley,5.0,24058.0,-0.32,2019,,,,,,,,,
2,Vegetable Products,1004,Oats,5.0,0.0,0.07,2019,,,,,,,,,
2,Vegetable Products,1005,Corn,2.3,52674.0,-0.95,2019,,,,,,,,,
2,Vegetable Products,1006,Rice,7.5,5008834.0,-2.03,2019,,,,,,,,,
2,Vegetable Products,1007,Sorghum,5.0,0.0,-2.26,2019,,,,,,,,,
2,Vegetable Products,1008,Buckwheat,5.0,155122.0,,2019,,,,,,,,,
2,Vegetable Products,1101,Wheat Flours,6.9,0.0,-1.77,2019,,,,,,,,,
2,Vegetable Products,1102,Cereal Flours,7.5,30821.0,-1.15,2019,,,,,,,,,
2,Vegetable Products,1103,Cereal Meal and Pellets,7.5,32395.0,,2019,,,,,,,,,
