Year,"Crude oil, average","Crude oil, Brent","Coal, Australian","Natural gas, Europe",Aluminum,Copper,"Iron ore, cfr spot",Nickel,Gold
1960,1.63000011444,1.63000011444,…,0.40477399635,511.47183227539,678.75583333333,11.42,1631,35.27
1961,1.57,1.57,…,0.40477399635,511.47183227539,633.08416666667,11.02,1711,35.25
1962,1.52,1.52,…,0.40477399635,498.06039174398,645.14333333333,11.01,1761,35.23
1963,1.5,1.5,…,0.39135113795,498.79526519775,645.95083333333,11.02,1741.66666666667,35.09
1964,1.45,1.45,…,0.38414980236,525.98563130697,969.75333333333,10.24,1741.66666666667,35.1
1965,1.42,1.42,…,0.41076610522,540.1318359375,1292.84416666667,10.66166666667,1735,35.12
1966,1.36,1.36,…,0.42492866514,540.1318359375,1531.51333333333,9.52,1739,35.13
1967,1.33,1.33,…,0.45664737628,540.1318359375,1134.7725,8.86,1935.7,34.95
1968,1.32,1.32,…,0.45180187737,552.99208577474,1241.9525,8.77,2074.5,38.925
1969,1.27,1.27,…,0.45181991824,588.44986979167,1467.34,9.84,2363.4,41.08333333333
1970,1.21,1.21,7.8,0.44721801014,614.17045084635,1415.7,9.84,2846.2,35.94166666667
1971,1.69,1.69,8.68,0.50224354379,627.94932047526,1081.41666666667,10.33,2932.1,40.80416666667
1972,1.82,1.82,9.6,0.54216598655,590.10331217448,1057.675,10.33,3079.9,58.15916666667
1973,2.8075,2.8075,11.48,0.69350672431,599.10548909505,1785.35833333333,10.33,3373.1,97.32583333333
1974,10.9749994278,10.9749994278,16.89,1.73,764.81943766276,2058.5,13.38,3825.25,159.245
1975,10.43250012398,10.43250012398,26.84,1.68209359077,868.4365641276,1234.75,17.3,4571.33333333333,161.02916666667
1976,11.63000011444,11.63000011444,27.16,1.73511329971,889.931640625,1400.75,22.72,4973.08333333333,124.81583333333
1977,12.56500005722,12.56500005722,28.67851851852,1.79162260682,1143.83034261068,1308.75,23.06,5118.16666666667,147.72083333333
1978,12.91666666667,12.91666666667,29.05865740741,2.30221809927,1324.92150878907,1364.83333333333,21.45,4609.25,193.23916666667
1979,30.9645832777,32.11250003179,30.89,3.25948857485,1602.86822509766,1985.25833333333,23.5,5986,306.6675
1980,36.86874993642,37.89166704814,40.14083333333,4.22,1774.91284179688,2182.09166666667,28.09,6518.675,607.86416666667
1981,35.48499965668,36.6758330663,53.62,4.6,1262.73028564453,1741.95,28.09,5953.08333333333,459.75416666667
1982,32.64722212685,33.41833289464,54.7675,4.45,991.56666666667,1480.44166666667,32.5,4837.49166666667,375.79666666667
1983,29.65777783924,29.82916704814,38.1875,4.05,1438.43333333333,1591.925,29,4672.8,422.53
1984,28.55749999152,28.80166657766,30.95833333333,3.76,1251.325,1377.31666666667,26.15,4752.20833333333,360.4775
1985,27.18333333333,27.32916666667,33.75,3.65,1040.725,1417.38333333333,26.56,4899.04166666667,317.9075
1986,14.35,14.77083333333,31.125,3.65,1149.935,1373.78166666667,26.26,3881.24166666667,367.69416666667
1987,18.14583333333,18.34166666667,27.5,2.59,1565.36083333333,1782.50333333333,25.3,4872.21666666667,446.4725
1988,14.71805555556,14.97083333333,34.875,2.36,2550.45583333333,2601.67166666667,24.3,13778.3166666667,437.04833333333
1989,17.83888888889,18.21666666667,38,2.09,1951.25666666667,2848.41,27.83,13308.175,381.43166666667
1990,22.87916666667,23.68333333333,39.66666666667,2.82,1639.445,2661.4825,32.5,8864.1,383.46666666667
1991,19.37083333333,20.06666666667,39.66666666667,3.11416666667,1302.18833333333,2338.7825,34.76,8155.61666666667,362.1825
1992,19.02083333333,19.3125,38.5625,2.55833333333,1254.28333333333,2281.1575,33.1,7001.22916666667,343.73333333333
1993,16.84166666667,17.02083333333,31.33333333333,2.67166666667,1139.04916666667,1913.07666666667,29.09,5293.41916666667,359.77
1994,15.88666666667,15.83,32.3,2.44333333333,1476.7825,2307.4175,26.47,6339.82,384.01166666667
1995,17.18333333333,17.06583333333,39.37166666667,2.7275,1805.6575,2935.60583333333,28.38,8228.03916666667,384.16416666667
1996,20.42,20.65,38.07416666667,2.84416666667,1505.66083333333,2294.85666666667,30,7500.81666666667,387.69583333333
1997,19.17104272487,19.09020833333,35.09916666667,2.73833333333,1599.33,2276.76666666667,30.15,6927.38583333333,331.09583333333
1998,13.06444166667,12.71654166667,29.23083333333,2.41583333333,1357.46916666667,1654.05833333333,31,4629.52333333333,294.16083333333
1999,18.07138888889,17.80833333333,25.89166666667,2.13083333333,1361.09,1572.86083333333,27.59,6011.2275,278.76833333333
2000,28.22971944444,28.27291590909,26.25,3.85833333333,1549.14083333333,1813.46916666667,28.79,8637.73916666667,279.03166666667
2001,24.35182500429,24.42157153589,32.3125,4.0575,1443.63416666667,1578.28833333333,30.03,5944.72666666667,270.98916666667
2002,24.92774838181,24.96947770777,25.309375,3.05166666667,1349.915,1559.4775,29.31,6771.75083333333,309.97166666667
2003,28.89890318948,28.85139058285,26.090625,3.90666666667,1431.29375,1779.14483333333,31.95,9629.46825,363.50916666667
2004,37.73338770304,38.30067968175,52.94791666667,4.2775,1715.541,2865.88491666667,37.9,13823.24075,409.21158333333
2005,53.39102459679,54.43413041126,47.62090277778,6.32666666667,1898.30808333333,3678.87641666667,65,14743.9593333333,444.84258333333
2006,64.2882591402,65.39138122067,49.08958333333,8.47083333333,2569.89875,6722.1345,69.33333333333,24254.40925,604.33583333333
2007,71.11655901006,72.69617052595,65.733125,8.555,2638.17916666667,7118.226,122.9875,37229.80675,696.72025
2008,96.99045375846,97.63648418188,127.10416666667,13.40666666667,2572.78916666667,6955.87983333333,155.99333333333,21110.6448333333,871.70725
2009,61.75692221551,61.86220689033,71.84416666667,8.71,1664.8295,5149.73858333333,79.97916666667,14654.6295,972.96591666667
2010,79.04077178472,79.63562997992,98.96604166667,8.2875,2173.117,7534.77958333333,145.86318542569,21808.8524166667,1224.66425
2011,104.00939752553,110.93992536389,121.44833333333,10.515,2401.38666666667,8828.1875,167.75416666667,22910.3566666667,1569.21083333333
2012,105.00962888488,111.96555833961,96.36416666667,11.47333333333,2023.28319284294,7962.34706281927,128.49592592593,17547.5460485288,1669.51766666667
2013,104.07749749759,108.85637454514,84.5621691909,11.78583333333,1846.66896845003,7332.10047748447,135.36118854173,15031.7973841678,1411.46230174415
2014,96.235,98.9375,70.13,10.05166666667,1867.42,6863.3975,96.95246212121,16893.3758333333,1265.5775
2015,50.75277777778,52.37,58.93916666667,6.82118307834,1664.68083333333,5510.45666666667,55.85416666667,11862.635,1160.66333333333
2016,42.81194444444,44.0475,66.12333333333,4.563422844,1604.18166666667,4867.8975,58.42416666667,9595.17916666667,1248.98833333333
2017,52.805,54.3925,88.51833333333,5.71704330393,1967.65416666667,6169.94,71.76,10409.635,1257.55916666667
2018,68.3475,71.07166666667,107.0225,7.68167965387,2108.475,6529.79833333333,69.75166666667,13114.0641666667,1269.22666666667
2019,61.4075,64.03166666667,77.88583333333,4.80235126619,1794.48833333333,6010.145,93.84916666667,13913.9083333333,1392.49833333333
2020,41.25777777778,42.3,60.785,3.24202403939,1703.98666666667,6173.77083333333,108.91833333333,13787.2566666667,1770.25416666667
2021,69.07055555556,70.44333333333,138.05,16.11587794838,2472.84833333333,9317.05,161.71,18464.9658333333,1799.62916666667
2022,97.10138888889,99.82416666667,344.89333333333,40.3401571422,2705.01916666667,8822.36583333333,121.30083333333,25833.725,1800.6025
2023,80.75569444444,82.61625,172.77916666667,13.1134032462,2255.73916666667,8490.29083333333,120.57416666667,21521.115,1942.66583333333
2024,78.73372222222,80.69866666667,136.14666666667,10.96230953259,2419.01666666667,9142.14,109.3975,16813.9625,2387.7025
