Year,Trade_RUS_Exp_to_CHN,Trade_CHN_Exp_to_RUS,CHN_GDP_current_USD,RUS_GDP_current_USD,CHN_GDP_growth_annual_percent,RUS_GDP_growth_annual_percent,CHN_Inflation_consumer_prices_percent,RUS_Inflation_consumer_prices_percent,Diplomatic_Agreement_Score,Oil_Cons_CHN_EJ,Oil_Cons_RUS_EJ,RUS_Export_Dependency_to_CHN_pct,CHN_Export_Dependency_to_RUS_pct,MUV_Index,Energy_Index_Nominal,Metals_Index_Nominal,ToT_Russia_Approx,"Crude oil, average","Crude oil, Brent","Coal, Australian","Natural gas, Europe",Aluminum,Copper,"Iron ore, cfr spot",Nickel,Gold,HHI_RUS_Exports_to_CHN,ECR_Top1,ECR_Top3,ECR_Top5,WITS_RUS_Exports_to_CHN,WITS_RUS_Imports_from_CHN,Trade_Balance_RUS_CHN,Trade_Balance_Ratio
1960,,,59846235024.7318,,,,,,,,,,,19.14191419141914,2.13444915445322,12.6770778233,33.18111531833717,1.63000011444,1.63000011444,…,0.40477399635,511.47183227539,678.75583333333,11.42,1631.0,35.27,,,,,,,,
1961,,,50162299349.7871,,-27.2700000038883,,,,,,,,,19.52108276939094,2.08333169406974,12.36963077785,31.749526400759265,1.57,1.57,…,0.40477399635,511.47183227539,633.08416666667,11.02,1711.0,35.25,,,,,,,,
1962,,,47310737754.2287,,-5.57999999019671,,,,,,,,,19.88162496637073,2.04291400240146,12.21425009028,30.739179759653645,1.52,1.52,…,0.40477399635,498.06039174398,645.14333333333,11.01,1761.0,35.23,,,,,,,,
1963,,,50812227918.5753,,10.2999999963989,,,,,,,,,19.50848745882949,2.01464105072438,12.28981719486,31.395112108533045,1.5,1.5,…,0.39135113795,498.79526519775,645.95083333333,11.02,1741.66666666667,35.09,,,,,,,,
1964,,,59821862703.4023,,18.1799999938203,,,,,,,,,19.7903668579985,1.94437457589987,14.57020011129,35.34398750788661,1.45,1.45,…,0.38414980236,525.98563130697,969.75333333333,10.24,1741.66666666667,35.1,,,,,,,,
1965,,,70565994356.1828,,16.9500000038699,,,,,0.46462512,7.181458473,,,19.99004232013941,1.93898601535253,16.49704820784,38.83038749011206,1.42,1.42,…,0.41076610522,540.1318359375,1292.84416666667,10.66166666667,1735.0,35.12,,,,,,,,
1966,,,76854053259.209,,10.6499999984174,,,,,0.596879661,7.690490723,,,20.707831325301203,1.88204058774968,17.43151239335,39.12447026787806,1.36,1.36,…,0.42492866514,540.1318359375,1531.51333333333,9.52,1739.0,35.13,,,,,,,,
1967,,,73011350596.2485,,-5.77000000405148,,,,,0.589294255,8.379157066,,,20.90099528548979,1.86618435986511,15.32587993892,34.68764282493436,1.33,1.33,…,0.45664737628,540.1318359375,1134.7725,8.86,1935.7,34.95,,,,,,,,
1968,,,70980323818.7853,,-4.09999998647768,,,,,0.644524455,8.93201828,,,20.714285714285715,1.85300340098579,16.04250241721,36.34594555332987,1.32,1.32,…,0.45180187737,552.99208577474,1241.9525,8.77,2074.5,38.925,,,,,,,,
1969,,,79847786729.1898,,16.9399999960609,,,,,0.864159584,9.498164177,,,21.829855537720704,1.81259494779253,17.98905135148,37.94426167848283,1.27,1.27,…,0.45181991824,588.44986979167,1467.34,9.84,2363.4,41.08333333333,,,,,,,,
1970,,,92752930873.1912,,19.2999999967022,,,,,1.195363998,10.45598984,,,23.21857485988791,2.11311453784639,18.27384108503,36.94199669221749,1.21,1.21,7.8,0.44721801014,614.17045084635,1415.7,9.84,2846.2,35.94166666667,,,,,,,,
1971,,,99959013879.6308,,7.05999999853672,,,,0.854166666666667,1.625679612,11.08501148,,,24.419557497951377,2.70936939051966,16.8007732166,34.177240605821616,1.69,1.69,8.68,0.50224354379,627.94932047526,1081.41666666667,10.33,2932.1,40.80416666667,,,,,,,,
1972,,,113871930713.841,,3.81000000021984,,,,0.782894736842105,1.870907426,12.02277946,,,26.62135372415746,2.92528497197365,16.46221884098,31.32845386449312,1.82,1.82,9.6,0.54216598655,590.10331217448,1057.675,10.33,3079.9,58.15916666667,,,,,,,,
1973,,,138764340892.0,,7.76000000084325,,,,0.830985915492958,2.282339096,12.92543411,,,30.88960342979636,4.1740098635899,21.49028212624,35.93609996929352,2.8075,2.8075,11.48,0.69350672431,599.10548909505,1785.35833333333,10.33,3373.1,97.32583333333,,,,,,,,
1974,,,144418433058.472,,2.31000000294736,,,,0.8,2.624662876,14.19901466,,,37.63798578557388,13.8029622412604,26.70617307809,50.38592310447436,10.9749994278,10.9749994278,16.89,1.73,764.81943766276,2058.5,13.38,3825.25,159.245,,,,,,,,
1975,,,163687619735.857,,8.71999999747992,,,,0.8125,2.894681692,14.88454723,,,41.81059024482824,13.8493572313914,23.34227125951,42.205868750732655,10.43250012398,10.43250012398,26.84,1.68209359077,868.4365641276,1234.75,17.3,4571.33333333333,161.02916666667,,,,,,,,
1976,,,154196810058.643,,-1.57000000165326,,,,0.804347826086957,3.309071064,15.29503441,,,42.318736539842064,15.3701481052498,25.34049851961,45.744012826962646,11.63000011444,11.63000011444,27.16,1.73511329971,889.931640625,1400.75,22.72,4973.08333333333,124.81583333333,,,,,,,,
1977,,,175226595859.778,,7.57000000138403,,,,0.817460317460317,3.495750189,15.90749836,,,45.73630136986301,16.84637631586,28.33081622651,46.87775713811336,12.56500005722,12.56500005722,28.67851851852,1.79162260682,1143.83034261068,1308.75,23.06,5118.16666666667,147.72083333333,,,,,,,,
1978,,,149788617886.179,,11.3259779878892,,,,0.779069767441861,3.875892878,16.88077927,,,53.15227934044617,17.67004441125,30.70139479205,43.05099395080414,12.91666666667,12.91666666667,29.05865740741,2.30221809927,1324.92150878907,1364.83333333333,21.45,4609.25,193.23916666667,,,,,,,,
1979,,,178573913043.478,,7.59132468000007,,,,0.777777777777778,3.885478258,17.17683601,,,59.30590915181563,39.03839955154,39.0517492957,65.83448429945987,30.9645832777,32.11250003179,30.89,3.25948857485,1602.86822509766,1985.25833333333,23.5,5986.0,306.6675,,,,,,,,
1980,,,191487500000.0,,7.83414501593799,,,,0.813953488372093,3.501118422,18.0061264,,,65.2257077276205,46.7843762097,42.87884752722,69.33181150836053,36.86874993642,37.89166704814,40.14083333333,4.22,1774.91284179688,2182.09166666667,28.09,6518.675,607.86416666667,,,,,,,,
1981,,,196218253968.254,,5.11276109058952,,,,0.786324786324786,3.317510843,18.16311836,,,65.29955770004021,46.86210123227,33.87738996105,63.81087130052082,35.48499965668,36.6758330663,53.62,4.6,1262.73028564453,1741.95,28.09,5953.08333333333,459.75416666667,,,,,,,,
1982,,,205480916030.534,,9.05928417062999,,,,0.780141843971631,3.282310724,18.0305233,,,63.35626253940957,44.01151477599,28.89373604256,59.92210045376802,32.64722212685,33.41833289464,54.7675,4.45,991.56666666667,1480.44166666667,32.5,4837.49166666667,375.79666666667,,,,,,,,
1983,,,231130268199.234,,10.7273706842105,,,,0.772058823529412,3.348357439,17.76714516,,,61.66883963494133,39.34468226804,34.38814132535,60.58499902403677,29.65777783924,29.82916704814,38.1875,4.05,1438.43333333333,1591.925,29.0,4672.8,422.53,,,,,,,,
1984,,,260442857142.857,,15.2325609955089,,,,0.80952380952381,3.473604918,17.76970673,,,60.31448355452973,37.82405642812,30.89119865988,58.11359271465007,28.55749999152,28.80166657766,30.95833333333,3.76,1251.325,1377.31666666667,26.15,4752.20833333333,360.4775,,,,,,,,
1985,,,310064625850.34,,13.435474366529,,,,0.804794520547945,3.638161421,10.57062244,,,59.68521115786193,36.14621258779,28.24157753227,55.26387177946206,27.18333333333,27.32916666667,33.75,3.65,1040.725,1417.38333333333,26.56,4899.04166666667,317.9075,,,,,,,,
1986,,,301310144927.536,,8.93506493506504,,,,0.863945578231292,3.867913961,10.69689274,,,68.64035087719299,21.85039023997,28.34936993091,35.62042123020375,14.35,14.77083333333,31.125,3.65,1149.935,1373.78166666667,26.26,3881.24166666667,367.69416666667,,,,,,,,
1987,,,273455156950.673,,11.6282225655699,,7.23383553065609,,0.922794117647059,4.112041473,10.78436184,,,75.2415458937198,24.51793142323,36.07201407439,38.728024707060406,18.14583333333,18.34166666667,27.5,2.59,1565.36083333333,1782.50333333333,25.3,4872.21666666667,446.4725,,,,,,,,
1988,,,312888888888.889,554828660436.137,11.2225949825209,,18.8118179448753,,0.956,4.42568922,10.69924259,,,80.10792249202844,21.19183459737,56.43143375197,44.05016777550496,14.71805555556,14.97083333333,34.875,2.36,2550.45583333333,2601.67166666667,24.3,13778.3166666667,437.04833333333,,,,,,,,
1989,,,348380566801.619,506631299734.748,4.20633435547828,,18.2456383621648,,0.954545454545455,4.635816574,10.8988409,,,79.6500920810313,24.66286336059,51.569472723,44.47641701344698,17.83888888889,18.21666666667,38,2.09,1951.25666666667,2848.41,27.83,13308.175,381.43166666667,,,,,,,,
1990,,,361560229445.507,517014446227.929,3.9416305983694,-2.99999564243126,3.05229012075233,,0.939759036144578,4.588460922,10.74467564,,,82.6745718050066,30.94902134676,45.33768759565,44.39634466191848,22.87916666667,23.68333333333,39.66666666667,2.82,1639.445,2661.4825,32.5,8864.1,383.46666666667,,,,,,,,
1991,,,384510452961.672,517962962962.963,9.36170212784847,-5.04693945142463,3.55668565220452,,0.761194029850746,4.96491766,10.47052383,,,81.89655172413795,27.00753120564,38.57241981199,38.62615211777767,19.37083333333,20.06666666667,39.66666666667,3.11416666667,1302.18833333333,2338.7825,34.76,8155.61666666667,362.1825,,,,,,,,
1992,,,428502354788.069,460290556900.726,14.2996108947926,-14.5310737729264,6.35398134024869,,0.657142857142857,5.385282993,9.998907089,,,83.425,26.21400696194,37.31883515755,36.74670451325622,19.02083333333,19.3125,38.5625,2.55833333333,1254.28333333333,2281.1575,33.1,7001.22916666667,343.73333333333,,,,,,,,
1993,,,446557291212.148,435083713850.837,13.9290780143689,-8.66854034260423,14.6100786356602,874.245720380188,0.620967741935484,5.989593983,8.337703705,,,86.31096739423336,23.94841605937,32.14374189495,31.544712352999383,16.84166666667,17.02083333333,31.33333333333,2.67166666667,1139.04916666667,1913.07666666667,29.09,5293.41916666667,359.77,,,,,,,,
1994,,,566929539493.172,395077301248.464,13.0727091631599,-12.5697559802151,24.2569897243361,307.722635553193,0.696969696969697,6.086298466,7.365734577,,,83.72151898734177,22.32581449567,38.56614910051,34.42597397446136,15.88666666667,15.83,32.3,2.44333333333,1476.7825,2307.4175,26.47,6339.82,384.01166666667,,,,,,,,
1995,,,738190896227.55,395537185734.854,11.0328121562746,-4.1435284052602,16.7912251650916,197.414268084251,0.685897435897436,6.57227087,6.427619457,,,91.90721649484536,23.87785370246,46.96237468675,36.02727115343884,17.18333333333,17.06583333333,39.37166666667,2.7275,1805.6575,2935.60583333333,28.38,8228.03916666667,384.16416666667,,,,,,,,
1996,,,868523936530.083,391724890744.498,9.97619992053447,-3.7550694383594,8.31316028893909,47.7520122009939,0.732876712328767,7.282903194,5.542233944,,,90.17919478706077,29.02206941973,40.05542094931,37.07663404016049,20.42,20.65,38.07416666667,2.84416666667,1505.66083333333,2294.85666666667,30.0,7500.81666666667,387.69583333333,,,,,,,,
1997,,,967753570434.667,404928954191.876,9.2876465280865,1.3999158052963,2.78646505531882,14.761329268806,0.768292682926829,7.997563839,5.49686718,,,85.91746327815342,26.85881326531,41.2903055161,37.979950664957904,19.17104272487,19.09020833333,35.09916666667,2.73833333333,1599.33,2276.76666666667,30.15,6927.38583333333,331.09583333333,,,,,,,,
1998,,,1037134141760.35,270955486862.442,7.92079207933551,-5.2999616266239,-0.773186011549318,27.6856798076742,0.793333333333333,8.235326767,5.265507698,,,82.17934165720771,19.06748710387,33.76474325216,30.356034813766392,13.06444166667,12.71654166667,29.23083333333,2.41583333333,1357.46916666667,1654.05833333333,31.0,4629.52333333333,294.16083333333,,,,,,,,
1999,,,1103843203575.64,195907128350.934,7.7370030581299,6.39991469144101,-1.40147268276465,85.7464940960636,0.795454545454545,8.77408123,5.383137703,,,80.59138800623823,24.41549872516,33.52692270648,34.81770076415111,18.07138888889,17.80833333333,25.89166666667,2.13083333333,1361.09,1572.86083333333,27.59,6011.2275,278.76833333333,,,,,,,,
2000,,,1223754919971.05,259710142196.943,8.58643201808462,10.0000668136515,0.347811226864587,20.7987606558704,0.866666666666667,9.456825256,5.276902199,,,79.5599999999989,39.2156377983,38.24927811018,48.80479376954819,28.22971944444,28.27291590909,26.25,3.85833333333,1549.14083333333,1813.46916666667,28.79,8637.73916666667,279.03166666667,,,,,,,,
2001,,,1355036590251.52,306602070620.5,8.31263887091522,5.10005122572568,0.719125609120114,21.4770072117159,0.8625,9.659696579,5.433918476,,,76.58000000000469,35.04610770737,34.38309024162,45.41773403116724,24.35182500429,24.42157153589,32.3125,4.0575,1443.63416666667,1578.28833333333,30.03,5944.72666666667,270.98916666667,,,,,,,,
2002,,,1489821682050.54,345470494417.863,9.24339326638321,4.69999190914258,-0.731970902350244,15.7887307914463,0.818181818181818,10.42415237,5.242370129,,,75.67999999999311,33.97167594969,33.08425939619,44.4195419242773,24.92774838181,24.96947770777,25.309375,3.05166666667,1349.915,1559.4775,29.31,6771.75083333333,309.97166666667,,,,,,,,
2003,,,1683903309843.85,430347420184.885,10.1181928640117,7.29995234528189,1.12760348729637,13.6632930228666,0.846153846153846,11.64514446,5.433067322,,,79.61999999999288,41.39682750697,36.83175532693,49.69957125716847,28.89890318948,28.85139058285,26.090625,3.90666666667,1431.29375,1779.14483333333,31.95,9629.46825,363.50916666667,,,,,,,,
2004,,,1984196551300.44,591016690732.385,10.1314073631003,7.19994786954857,3.82463743108159,10.8886157326216,0.857142857142857,13.5999794,5.358517647,,,85.0299999999955,53.44147649605,49.28127432247,60.89309141082059,37.73338770304,38.30067968175,52.94791666667,4.2775,1715.541,2865.88491666667,37.9,13823.24075,409.21158333333,,,,,,,,
2005,,,2317551298052.05,764015973481.11,11.458238455067,6.39996544799469,1.77641407667571,12.6853039507349,0.846938775510204,13.81855392,5.377748966,,,87.69999999999268,75.38773034965,60.10369102587,78.98986843802027,53.39102459679,54.43413041126,47.62090277778,6.32666666667,1898.30808333333,3678.87641666667,65.0,14743.9593333333,444.84258333333,,,,,,,,
2006,,,2791498472804.33,989932071352.543,12.6746751655235,8.20006825456321,1.6494309945586,9.66865454789265,0.899082568807339,14.82036877,5.650529385,,,89.92999999999296,85.39766682462,91.92306481571,97.86258870350596,64.2882591402,65.39138122067,49.08958333333,8.47083333333,2569.89875,6722.1345,69.33333333333,24254.40925,604.33583333333,,,,,,,,
2007,,,3604055822571.63,1299703478481.65,14.1499854947127,8.49997776916511,4.81676767378834,9.00729868861079,0.879120879120879,15.52884293,5.622001171,,,95.42999999999633,94.36914719705,108.12447552986,104.65396471778044,71.11655901006,72.69617052595,65.733125,8.555,2638.17916666667,7118.226,122.9875,37229.80675,696.72025,0.2396070692175768,39.23384927130682,78.80835369007204,86.92596157267636,67.485036617,42.437070609,25.04796600800001,1.590237866293435
2008,,,4667346414521.95,1660848058303.11,9.67024588602851,5.19996926404957,5.92525137041092,14.1107677840442,0.914893617021277,15.86913013,5.80193758,,,102.82999999999532,129.03409536099,102.22371012061,115.053915457399,96.99045375846,97.63648418188,127.10416666667,13.40666666667,2572.78916666667,6955.87983333333,155.99333333333,21110.6448333333,871.70725,0.2886305994299795,46.93452012611814,80.71382633992754,88.38151345216652,94.31165752,60.784588744,33.52706877599999,1.5515718616967598
2009,,,5189577094997.58,1222645900055.7,9.40269972778044,-7.79999391271275,-0.728165250932898,11.6473295764118,0.892857142857143,16.48907471,5.566747189,,,96.46000000000583,79.35657336959,68.41676522365,77.73237622974236,61.75692221551,61.86220689033,71.84416666667,8.71,1664.8295,5149.73858333333,79.97916666667,14654.6295,972.96591666667,0.2569041231131232,42.61650477421171,78.36669988222636,84.03449571359906,70.551211211,43.084831907,27.466379304,1.637495333932997
