date,dual_use_usd,dual_use_bn,CHN_exp_to_RUS_bn,mdi_pct
2022-03-01,300000000,0.3,3.805156742,7.884037908049991
2022-04-01,300000000,0.3,3.760909027,7.976794914374833
2022-05-01,300000000,0.3,4.276701009,7.014752711696989
2022-06-01,300000000,0.3,4.971492651,6.034404977741564
2022-07-01,300000000,0.3,6.695754639,4.480450915160842
2022-08-01,300000000,0.3,7.901369943,3.7968099476949146
2022-09-01,300000000,0.3,7.914083396,3.790710622933648
2022-10-01,300000000,0.3,7.334985608,4.089987575064919
2022-11-01,300000000,0.3,7.632396367,3.9306134741259307
2022-12-01,300000000,0.3,8.740727728,3.432208499516369
2023-01-01,300000000,0.3,8.01858546,3.741308258127612
2023-02-01,300000000,0.3,6.920533675,4.334925803247392
2023-03-01,300000000,0.3,8.890318494,3.374457284094686
2023-04-01,300000000,0.3,9.574571715,3.133299419858176
2023-05-01,300000000,0.3,9.251524258,3.242708894597377
2023-06-01,300000000,0.3,9.530188306,3.147891629918021
2023-07-01,300000000,0.3,10.266102763,2.922238428016016
2023-08-01,300000000,0.3,9.295961236,3.2272079496007917
2023-09-01,300000000,0.3,9.643839826,3.110794096674994
2023-10-01,300000000,0.3,8.688963177,3.4526559025374954
2023-11-01,300000000,0.3,10.293836176,2.9143654014957776
2023-12-01,300000000,0.3,10.703290515,2.8028763638580916
2024-01-01,300000000,0.3,9.201149255,3.2604622714600233
2024-02-01,300000000,0.3,7.591295224,3.951894784061951
2024-03-01,300000000,0.3,7.456257276,4.023466316883028
2024-04-01,300000000,0.3,8.29660789,3.6159356206479703
2024-05-01,300000000,0.3,9.075194053,3.3057144370464293
2024-06-01,300000000,0.3,9.884656298,3.035006893064154
2024-07-01,300000000,0.3,9.979325783,3.0062151143623006
2024-08-01,300000000,0.3,10.246227078,2.9279070014380175
2024-09-01,300000000,0.3,11.234479764,2.670350619717401
2024-10-01,300000000,0.3,10.982690125,2.7315711959960267
