date,value,yuan_share
2017-01-01,6495145706.0,
2017-02-01,5016926696.0,
2017-03-01,6469484857.999999,
2017-04-01,6507877502.0,
2017-05-01,7537942782.0,
2017-06-01,7341872971.000001,
2017-07-01,7020962147.000001,
2017-08-01,7322825299.0,
2017-09-01,7663951265.0,
2017-10-01,6684325761.0,
2017-11-01,8001373254.000001,
2017-12-01,8158204632.0,
2018-01-01,8303283949.000001,
2018-02-01,7476540401.999999,
2018-03-01,7405589018.000001,
2018-04-01,8177322715.999999,
2018-05-01,9466033536.000002,
2018-06-01,8433348934.0,
2018-07-01,9118425308.0,
2018-08-01,9187035297.0,
2018-09-01,9731491155.0,
2018-10-01,10061723098.000002,
2018-11-01,9918666552.0,
2018-12-01,9826906370.0,
2019-01-01,9331820486.0,
2019-02-01,6958599499.0,
2019-03-01,8241741828.0,
2019-04-01,9008028258.0,
2019-05-01,9206198828.0,
2019-06-01,9336837650.0,
2019-07-01,9361227921.0,
2019-08-01,9483996131.000002,
2019-09-01,9562924215.999998,
2019-10-01,9738592901.0,
2019-11-01,10176946987.0,
2019-12-01,10532203660.0,
2020-01-01,10559868588.0,
2020-02-01,6754346137.0,
2020-03-01,8073456060.0,
2020-04-01,8229038957.0,
2020-05-01,7428053508.0,
2020-06-01,8260371695.0,
2020-07-01,9746814700.0,
2020-08-01,9794298216.0,
2020-09-01,10265479528.0,
2020-10-01,9396988811.0,
2020-11-01,9343759105.0,
2020-12-01,10496385277.0,
2021-01-01,9780244162.0,
2021-02-01,9282598362.0,
2021-03-01,10547151785.0,
2021-04-01,10894503096.000002,
2021-05-01,10462503973.0,
2021-06-01,12296189157.0,
2021-07-01,12296084183.0,
2021-08-01,13385088222.0,
2021-09-01,13486732423.0,
2021-10-01,13091099539.0,
2021-11-01,14828290840.0,
2021-12-01,16439740842.0,
2022-01-01,15105499754.0,0.3
2022-02-01,11598453395.0,0.3
2022-03-01,12055826632.999998,0.3
2022-04-01,12933176883.0,0.3
2022-05-01,14880978226.0,0.3
2022-06-01,14876730955.0,0.3
2022-07-01,16741558351.999998,0.3
2022-08-01,19269655213.0,0.3
2022-09-01,18684682711.0,0.3
2022-10-01,17695280643.0,0.3
2022-11-01,18250293856.0,0.3
2022-12-01,17838991319.0,0.3
2023-01-01,17496108076.0,0.3
2023-02-01,16381677090.0,0.3
2023-03-01,20002894233.0,0.3
2023-04-01,19314445118.0,0.3
2023-05-01,20656969635.0,0.3
2023-06-01,21029943021.999996,0.3
2023-07-01,19679083725.0,0.3
2023-08-01,20922786297.0,0.3
2023-09-01,21205804157.000004,0.3
2023-10-01,19901465262.000004,0.3
2023-11-01,21482831173.999996,0.3
2023-12-01,21939386372.0,0.3
2024-01-01,19831177770.0,0.3
2024-02-01,17509182838.999996,0.3
2024-03-01,19638736961.0,0.3
2024-04-01,19888394411.0,0.3
2024-05-01,19899745762.000004,0.3
2024-06-01,20385053458.0,0.3
2024-07-01,19716645919.0,0.3
2024-08-01,21756726937.0,0.3
2024-09-01,21906821624.0,0.3
2024-10-01,21882051274.0,0.3
2024-11-01,20643365415.0,0.3
2024-12-01,22099316860.0,0.3
