year,scenario,mdi,dual_use_bn,oil_revenue_bn,defense_bn,trade_bn,category
2025,S1_China_Stops,48.07,2.52,60.0,175.0,225.4,moderate
2026,S1_China_Stops,42.59,1.08,58.8,160.0,208.25,moderate
2027,S1_China_Stops,33.64,0.36,57.6,145.0,196.0,moderate
2028,S1_China_Stops,28.93,0.18,56.4,135.0,191.1,low
2029,S1_China_Stops,24.4,0.072,55.2,130.0,188.65,low
2030,S1_China_Stops,20.68,0.0,54.0,125.0,186.2,low
2025,S2_Oil_Crash,44.91,3.6,33.00000000000001,165.0,196.0,moderate
2026,S2_Oil_Crash,45.06,3.6,30.0,155.0,183.75,moderate
2027,S2_Oil_Crash,45.91,3.6,33.00000000000001,150.0,191.1,moderate
2028,S2_Oil_Crash,46.64,3.6,36.0,148.0,200.9,moderate
2029,S2_Oil_Crash,46.91,3.6,37.2,146.0,208.25,moderate
2030,S2_Oil_Crash,47.27,3.6,39.0,145.0,213.15,moderate
2025,S3_War_Ends,49.76,3.24,60.0,170.0,245.0,moderate
2026,S3_War_Ends,49.9,1.8,54.0,120.0,232.75,moderate
2027,S3_War_Ends,46.88,0.9,49.2,95.0,225.4,moderate
2028,S3_War_Ends,45.35,0.72,48.0,90.0,220.5,moderate
2029,S3_War_Ends,44.43,0.648,47.4,88.0,218.05,moderate
2030,S3_War_Ends,43.94,0.612,46.8,86.0,215.6,moderate
2025,S4_Integration,51.92,3.96,63.0,180.0,257.25,moderate
2026,S4_Integration,54.34,4.5,67.2,185.0,274.40000000000003,moderate
2027,S4_Integration,56.09,5.04,69.0,188.0,289.1,moderate
2028,S4_Integration,57.35,5.4,70.8,190.0,303.8,moderate
2029,S4_Integration,58.14,5.58,72.0,192.0,318.5,moderate
2030,S4_Integration,58.86,5.76,73.2,195.0,330.75,moderate
