Year,HS2,Value,TotalValue,Share,ShareSquared
2007, T,15166641.402,67485036.617,0.22474080421821105,0.050508429080648266
2007,01,180632.96,67485036.617,0.0026766372081140303,7.1643867438604705e-06
2007,02,25.17,67485036.617,3.7297156913240063e-07,1.391077913810851e-13
2007,03,534117.687,67485036.617,0.007914609130781026,6.264103769304238e-05
2007,04,527.682,67485036.617,7.819244479257982e-06,6.114058422640644e-11
2007,05,6366.737999999999,67485036.617,9.434295836769494e-05,8.90059379356862e-09
2007,06,18254.517,67485036.617,0.0002704972526517315,7.316876369213465e-08
2007,07,2848.293,67485036.617,4.220628961298501e-05,1.7813708828951665e-09
2007,08,48028.812,67485036.617,0.0007116957240844287,5.065108036800593e-07
2007,10,28.799999999999997,67485036.617,4.267612709977408e-07,1.8212518242360717e-13
2007,11,721.5360000000001,67485036.617,1.06917923760634e-05,1.1431442421284745e-10
2007,12,2630.736,67485036.617,3.898250829928863e-05,1.519635953304107e-09
2007,13,445.34999999999997,67485036.617,6.59924069579319e-06,4.354997776101298e-11
2007,15,0.024,67485036.617,3.5563439249811735e-10,1.2647582112750498e-19
2007,16,4301.902,67485036.617,6.374601268151817e-05,4.063554132792275e-09
2007,17,0.46799999999999997,67485036.617,6.934870653713288e-09,4.8092430983733765e-17
2007,18,799.53,67485036.617,1.1847515243084157e-05,1.4036361743511146e-10
2007,19,472.626,67485036.617,7.0034191828673e-06,4.904788025095368e-11
2007,20,436.914,67485036.617,6.474235206830102e-06,4.1915721513358415e-11
2007,21,87.396,67485036.617,1.2950426402818944e-06,1.6771354401483002e-12
2007,22,5150.715,67485036.617,7.632380833149753e-05,5.825323718223172e-09
2007,23,526.155,67485036.617,7.79661724103529e-06,6.078724040320872e-11
2007,24,8.514,67485036.617,1.2616130073870714e-07,1.5916673804082506e-14
2007,25,615690.1630000001,67485036.617,0.009123358211898828,8.323566506262178e-05
2007,26,1142739.459,67485036.617,0.01693322722021218,0.0002867341840913347
2007,27,26476977.547000002,67485036.617,0.3923384927130683,0.15392949286436236
2007,28,2329023.146,67485036.617,0.03451169715174018,0.0011910572402934311
2007,29,2418745.191,67485036.617,0.03584120735870949,0.0012845921449300116
2007,30,169.686,67485036.617,2.5144240635598144e-06,6.32232837140865e-12
2007,31,3059425.461,67485036.617,0.04533487146733366,0.0020552505709596634
2007,32,570.207,67485036.617,8.449384168465584e-06,7.139209282631685e-11
2007,33,74.322,67485036.617,1.101310804968545e-06,1.2128854891404647e-12
2007,34,165034.08899999998,67485036.617,0.002445491582624801,5.980429080688754e-06
2007,35,5.64,67485036.617,8.357408223705757e-08,6.984627221766462e-15
2007,36,3.99,67485036.617,5.9124217752812013e-08,3.4956731248819313e-15
2007,37,0.27599999999999997,67485036.617,4.089795513728349e-09,1.6726427344112533e-17
2007,38,21240.534,67485036.617,0.00031474435022606695,9.906400599922908e-08
2007,39,920588.305,67485036.617,0.013641369274564441,0.00018608695568503078
2007,40,706416.456,67485036.617,0.010467749465843045,0.00010957377887965735
2007,41,9299.904,67485036.617,0.00013780690455545048,1.899074294315504e-08
2007,42,1922.4959999999999,67485036.617,2.848773737666919e-05,8.115511808420749e-10
2007,43,16487.556,67485036.617,0.0002443142484099454,5.968945197611651e-08
2007,44,11540227.396,67485036.617,0.17100423996944128,0.029242450087526257
2007,47,1704343.7880000002,67485036.617,0.025255136152221674,0.0006378219020672541
2007,48,262104.606,67485036.617,0.0038838921802403503,1.5084618467732141e-05
2007,49,32809.701,67485036.617,0.00048617742013249473,2.3636848384668828e-07
2007,50,22632.774999999998,67485036.617,0.0003353747161529824,1.1247620023469351e-07
2007,51,31721.646,67485036.617,0.0004700545126770973,2.2095124488810342e-07
2007,52,47.949,67485036.617,7.105130619121762e-07,5.04828811147816e-13
2007,53,2062.881,67485036.617,3.056797630128787e-05,9.344011751560968e-10
2007,54,21949.719,67485036.617,0.00032525312425289103,1.0578959483626657e-07
2007,55,8737.509,67485036.617,0.00012947327938174304,1.6763330073862886e-08
2007,56,51.885,67485036.617,7.688371022818674e-07,5.911104898451787e-13
2007,57,135.282,67485036.617,2.004622161913763e-06,4.0185100120358095e-12
2007,58,519.366,67485036.617,7.696017162257384e-06,5.922868016176021e-11
2007,59,95.277,67485036.617,1.4118240839184636e-06,1.993247243932209e-12
2007,61,128.482,67485036.617,1.9038590840392965e-06,3.6246794118789492e-12
2008, T,21147334.469,94311657.52,0.22422821340527746,0.05027829168692265
2008,01,130534.857,94311657.52,0.0013840797673640548,1.9156768024265358e-06
2008,02,25.512,94311657.52,2.705073865825108e-07,7.317424619569994e-14
2008,03,375930.522,94311657.52,0.003986045117702222,1.588855568035772e-05
2008,04,21.564,94311657.52,2.2864617765229158e-07,5.227907455500328e-14
2008,05,11616.255,94311657.52,0.00012316881396699686,1.517055673403668e-08
2008,06,5873.925,94311657.52,6.228206729114435e-05,3.879055906058632e-09
2008,07,2772.0840000000003,94311657.52,2.9392803317152435e-05,8.639368868408072e-10
2008,08,10889.625,94311657.52,0.00011546425210150416,1.3331993513359707e-08
2008,11,850.7399999999999,94311657.52,9.02051795473523e-06,8.136974417170067e-11
2008,12,3103.6050000000005,94311657.52,3.2907967918407556e-05,1.082934352518941e-09
2008,15,5.721,94311657.52,6.066058163368392e-08,3.6797061641368314e-15
2008,16,4039.013,94311657.52,4.2826232792520645e-05,1.8340862151991706e-09
2008,17,1.44,94311657.52,1.5268526053575397e-08,2.331278878487107e-16
2008,18,74.73599999999999,94311657.52,7.924365021805631e-07,6.279556099881655e-13
2008,19,133.84199999999998,94311657.52,1.4191458778212766e-06,2.0139750225371217e-12
2008,20,134.29500000000002,94311657.52,1.4239491016422974e-06,2.027631044067906e-12
2008,21,113.38499999999999,94311657.52,1.202237379572671e-06,1.4453747168417626e-12
2008,22,6599.085,94311657.52,6.997104253629069e-05,4.8959467936154015e-09
2008,25,1182110.198,94311657.52,0.012534083580805676,0.00015710325121062244
2008,26,2255040.405,94311657.52,0.023910516094172024,0.0005717127798896594
2008,27,44264723.88,94311657.52,0.46934520126118134,0.22028491794689883
